,StartTime,quantity
0,2021-12-31 23:00:00+00:00,26
1,2022-01-01 00:00:00+00:00,104
2,2022-01-01 01:00:00+00:00,106
3,2022-01-01 02:00:00+00:00,108
4,2022-01-01 03:00:00+00:00,108
5,2022-01-01 04:00:00+00:00,108
6,2022-01-01 05:00:00+00:00,108
7,2022-01-01 06:00:00+00:00,108
8,2022-01-01 07:00:00+00:00,108
9,2022-01-01 08:00:00+00:00,100
10,2022-01-01 09:00:00+00:00,88
11,2022-01-01 10:00:00+00:00,75
12,2022-01-01 11:00:00+00:00,68
13,2022-01-01 12:00:00+00:00,68
14,2022-01-01 13:00:00+00:00,68
15,2022-01-01 14:00:00+00:00,72
16,2022-01-01 15:00:00+00:00,72
17,2022-01-01 16:00:00+00:00,81
18,2022-01-01 17:00:00+00:00,87
19,2022-01-01 18:00:00+00:00,89
20,2022-01-01 19:00:00+00:00,100
21,2022-01-01 20:00:00+00:00,104
22,2022-01-01 21:00:00+00:00,108
23,2022-01-01 22:00:00+00:00,109
24,2022-01-01 23:00:00+00:00,112
25,2022-01-02 00:00:00+00:00,110
26,2022-01-02 01:00:00+00:00,110
27,2022-01-02 02:00:00+00:00,108
28,2022-01-02 03:00:00+00:00,107
29,2022-01-02 04:00:00+00:00,104
30,2022-01-02 05:00:00+00:00,104
31,2022-01-02 06:00:00+00:00,104
32,2022-01-02 07:00:00+00:00,103
33,2022-01-02 08:00:00+00:00,100
34,2022-01-02 09:00:00+00:00,98
35,2022-01-02 10:00:00+00:00,93
36,2022-01-02 11:00:00+00:00,90
37,2022-01-02 12:00:00+00:00,89
38,2022-01-02 13:00:00+00:00,88
39,2022-01-02 14:00:00+00:00,88
40,2022-01-02 15:00:00+00:00,88
41,2022-01-02 16:00:00+00:00,89
42,2022-01-02 17:00:00+00:00,88
43,2022-01-02 18:00:00+00:00,88
44,2022-01-02 19:00:00+00:00,88
45,2022-01-02 20:00:00+00:00,91
46,2022-01-02 21:00:00+00:00,92
47,2022-01-02 22:00:00+00:00,92
48,2022-01-02 23:00:00+00:00,93
49,2022-01-03 00:00:00+00:00,96
50,2022-01-03 01:00:00+00:00,96
51,2022-01-03 02:00:00+00:00,96
52,2022-01-03 03:00:00+00:00,96
53,2022-01-03 04:00:00+00:00,95
54,2022-01-03 05:00:00+00:00,93
55,2022-01-03 06:00:00+00:00,96
56,2022-01-03 07:00:00+00:00,96
57,2022-01-03 08:00:00+00:00,96
58,2022-01-03 09:00:00+00:00,96
59,2022-01-03 10:00:00+00:00,96
60,2022-01-03 11:00:00+00:00,96
61,2022-01-03 12:00:00+00:00,96
62,2022-01-03 13:00:00+00:00,96
63,2022-01-03 14:00:00+00:00,96
64,2022-01-03 15:00:00+00:00,99
65,2022-01-03 16:00:00+00:00,100
66,2022-01-03 17:00:00+00:00,100
67,2022-01-03 18:00:00+00:00,100
68,2022-01-03 19:00:00+00:00,100
69,2022-01-03 20:00:00+00:00,100
70,2022-01-03 21:00:00+00:00,100
71,2022-01-03 22:00:00+00:00,104
72,2022-01-03 23:00:00+00:00,104
73,2022-01-04 00:00:00+00:00,102
74,2022-01-04 01:00:00+00:00,104
75,2022-01-04 02:00:00+00:00,104
76,2022-01-04 03:00:00+00:00,104
77,2022-01-04 04:00:00+00:00,104
78,2022-01-04 05:00:00+00:00,102
79,2022-01-04 06:00:00+00:00,104
