,StartTime,quantity
0,2021-12-31 23:00:00+00:00,1
1,2022-01-01 00:00:00+00:00,1
2,2022-01-01 01:00:00+00:00,1
3,2022-01-01 02:00:00+00:00,1
4,2022-01-01 03:00:00+00:00,1
5,2022-01-01 04:00:00+00:00,1
6,2022-01-01 05:00:00+00:00,1
7,2022-01-01 06:00:00+00:00,1
8,2022-01-01 07:00:00+00:00,12
9,2022-01-01 08:00:00+00:00,45
10,2022-01-01 09:00:00+00:00,67
11,2022-01-01 10:00:00+00:00,62
12,2022-01-01 11:00:00+00:00,40
13,2022-01-01 12:00:00+00:00,20
14,2022-01-01 13:00:00+00:00,3
15,2022-01-01 14:00:00+00:00,1
16,2022-01-01 15:00:00+00:00,1
17,2022-01-01 16:00:00+00:00,1
18,2022-01-01 17:00:00+00:00,1
19,2022-01-01 18:00:00+00:00,1
20,2022-01-01 19:00:00+00:00,1
21,2022-01-01 20:00:00+00:00,1
22,2022-01-01 21:00:00+00:00,1
23,2022-01-01 22:00:00+00:00,1
24,2022-01-01 23:00:00+00:00,1
25,2022-01-02 00:00:00+00:00,1
26,2022-01-02 01:00:00+00:00,1
27,2022-01-02 02:00:00+00:00,1
28,2022-01-02 03:00:00+00:00,1
29,2022-01-02 04:00:00+00:00,1
30,2022-01-02 05:00:00+00:00,1
31,2022-01-02 06:00:00+00:00,1
32,2022-01-02 07:00:00+00:00,3
33,2022-01-02 08:00:00+00:00,16
34,2022-01-02 09:00:00+00:00,24
35,2022-01-02 10:00:00+00:00,30
36,2022-01-02 11:00:00+00:00,26
37,2022-01-02 12:00:00+00:00,14
38,2022-01-02 13:00:00+00:00,2
39,2022-01-02 14:00:00+00:00,1
40,2022-01-02 15:00:00+00:00,1
41,2022-01-02 16:00:00+00:00,1
42,2022-01-02 17:00:00+00:00,1
43,2022-01-02 18:00:00+00:00,1
44,2022-01-02 19:00:00+00:00,1
45,2022-01-02 20:00:00+00:00,1
46,2022-01-02 21:00:00+00:00,1
47,2022-01-02 22:00:00+00:00,1
48,2022-01-02 23:00:00+00:00,1
49,2022-01-03 00:00:00+00:00,1
50,2022-01-03 01:00:00+00:00,1
51,2022-01-03 02:00:00+00:00,1
52,2022-01-03 03:00:00+00:00,1
53,2022-01-03 04:00:00+00:00,1
54,2022-01-03 05:00:00+00:00,1
55,2022-01-03 06:00:00+00:00,1
56,2022-01-03 07:00:00+00:00,12
57,2022-01-03 08:00:00+00:00,38
58,2022-01-03 09:00:00+00:00,65
59,2022-01-03 10:00:00+00:00,83
60,2022-01-03 11:00:00+00:00,84
61,2022-01-03 12:00:00+00:00,59
62,2022-01-03 13:00:00+00:00,14
63,2022-01-03 14:00:00+00:00,1
64,2022-01-03 15:00:00+00:00,1
65,2022-01-03 16:00:00+00:00,1
66,2022-01-03 17:00:00+00:00,1
67,2022-01-03 18:00:00+00:00,1
68,2022-01-03 19:00:00+00:00,1
69,2022-01-03 20:00:00+00:00,1
70,2022-01-03 21:00:00+00:00,1
71,2022-01-03 22:00:00+00:00,1
72,2022-01-03 23:00:00+00:00,1
73,2022-01-04 00:00:00+00:00,1
74,2022-01-04 01:00:00+00:00,1
75,2022-01-04 02:00:00+00:00,1
76,2022-01-04 03:00:00+00:00,1
77,2022-01-04 04:00:00+00:00,1
78,2022-01-04 05:00:00+00:00,1
79,2022-01-04 06:00:00+00:00,1
80,2022-01-04 07:00:00+00:00,19
81,2022-01-04 08:00:00+00:00,101
82,2022-01-04 09:00:00+00:00,169
83,2022-01-04 10:00:00+00:00,247
84,2022-01-04 11:00:00+00:00,245
85,2022-01-04 12:00:00+00:00,146
86,2022-01-04 13:00:00+00:00,44
87,2022-01-04 14:00:00+00:00,4
88,2022-01-04 15:00:00+00:00,3
89,2022-01-04 16:00:00+00:00,3
90,2022-01-04 17:00:00+00:00,3
91,2022-01-04 18:00:00+00:00,3
92,2022-01-04 19:00:00+00:00,3
93,2022-01-04 20:00:00+00:00,3
94,2022-01-04 21:00:00+00:00,3
95,2022-01-04 22:00:00+00:00,3
96,2022-01-04 23:00:00+00:00,3
97,2022-01-05 00:00:00+00:00,3
98,2022-01-05 01:00:00+00:00,3
99,2022-01-05 02:00:00+00:00,3
100,2022-01-05 03:00:00+00:00,3
101,2022-01-05 04:00:00+00:00,3
102,2022-01-05 05:00:00+00:00,3
103,2022-01-05 06:00:00+00:00,5
104,2022-01-05 07:00:00+00:00,33
105,2022-01-05 08:00:00+00:00,115
106,2022-01-05 09:00:00+00:00,187
107,2022-01-05 10:00:00+00:00,177
108,2022-01-05 11:00:00+00:00,118
109,2022-01-05 12:00:00+00:00,59
110,2022-01-05 13:00:00+00:00,23
111,2022-01-05 14:00:00+00:00,3
