StartTime,EndTime,AreaID,UnitName,PsrType,quantity,hourly_time
2021-12-31 23:00:00+00:00,2022-01-01 00:00:00+00:00,10YHU-MAVIR----U,MAW,B14,1950,2021-12-31 23:00:00+00:00
2022-01-01 00:00:00+00:00,2022-01-01 01:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7795,2022-01-01 00:00:00+00:00
2022-01-01 01:00:00+00:00,2022-01-01 02:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7790,2022-01-01 01:00:00+00:00
2022-01-01 02:00:00+00:00,2022-01-01 03:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7790,2022-01-01 02:00:00+00:00
2022-01-01 03:00:00+00:00,2022-01-01 04:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7794,2022-01-01 03:00:00+00:00
2022-01-01 04:00:00+00:00,2022-01-01 05:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7794,2022-01-01 04:00:00+00:00
2022-01-01 05:00:00+00:00,2022-01-01 06:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7790,2022-01-01 05:00:00+00:00
2022-01-01 06:00:00+00:00,2022-01-01 07:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7790,2022-01-01 06:00:00+00:00
2022-01-01 07:00:00+00:00,2022-01-01 08:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7792,2022-01-01 07:00:00+00:00
2022-01-01 08:00:00+00:00,2022-01-01 09:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7794,2022-01-01 08:00:00+00:00
2022-01-01 09:00:00+00:00,2022-01-01 10:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7697,2022-01-01 09:00:00+00:00
2022-01-01 10:00:00+00:00,2022-01-01 11:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7573,2022-01-01 10:00:00+00:00
2022-01-01 11:00:00+00:00,2022-01-01 12:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7786,2022-01-01 11:00:00+00:00
2022-01-01 12:00:00+00:00,2022-01-01 13:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7800,2022-01-01 12:00:00+00:00
2022-01-01 13:00:00+00:00,2022-01-01 14:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7799,2022-01-01 13:00:00+00:00
2022-01-01 14:00:00+00:00,2022-01-01 15:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7802,2022-01-01 14:00:00+00:00
2022-01-01 15:00:00+00:00,2022-01-01 16:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7801,2022-01-01 15:00:00+00:00
2022-01-01 16:00:00+00:00,2022-01-01 17:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7795,2022-01-01 16:00:00+00:00
2022-01-01 17:00:00+00:00,2022-01-01 18:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7792,2022-01-01 17:00:00+00:00
2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7792,2022-01-01 18:00:00+00:00
2022-01-01 19:00:00+00:00,2022-01-01 20:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7791,2022-01-01 19:00:00+00:00
2022-01-01 20:00:00+00:00,2022-01-01 21:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7790,2022-01-01 20:00:00+00:00
