,StartTime,quantity
0,2021-12-31 23:00:00+00:00,2016
1,2022-01-01 00:00:00+00:00,6940
2,2022-01-01 01:00:00+00:00,5548
3,2022-01-01 02:00:00+00:00,5550
4,2022-01-01 03:00:00+00:00,5709
5,2022-01-01 04:00:00+00:00,5860
6,2022-01-01 05:00:00+00:00,6295
7,2022-01-01 06:00:00+00:00,6252
8,2022-01-01 07:00:00+00:00,5794
9,2022-01-01 08:00:00+00:00,6484
10,2022-01-01 09:00:00+00:00,7686
11,2022-01-01 10:00:00+00:00,8346
12,2022-01-01 11:00:00+00:00,8743
13,2022-01-01 12:00:00+00:00,8805
14,2022-01-01 13:00:00+00:00,8705
15,2022-01-01 14:00:00+00:00,8532
16,2022-01-01 15:00:00+00:00,7816
17,2022-01-01 16:00:00+00:00,8505
18,2022-01-01 17:00:00+00:00,8859
19,2022-01-01 18:00:00+00:00,8956
20,2022-01-01 19:00:00+00:00,8479
21,2022-01-01 20:00:00+00:00,7758
22,2022-01-01 21:00:00+00:00,7854
23,2022-01-01 22:00:00+00:00,8411
24,2022-01-01 23:00:00+00:00,8234
25,2022-01-02 00:00:00+00:00,8263
26,2022-01-02 01:00:00+00:00,8718
27,2022-01-02 02:00:00+00:00,8866
28,2022-01-02 03:00:00+00:00,8578
29,2022-01-02 04:00:00+00:00,8011
30,2022-01-02 05:00:00+00:00,7959
31,2022-01-02 06:00:00+00:00,8523
32,2022-01-02 07:00:00+00:00,8468
33,2022-01-02 08:00:00+00:00,8533
34,2022-01-02 09:00:00+00:00,8720
35,2022-01-02 10:00:00+00:00,8863
36,2022-01-02 11:00:00+00:00,8689
37,2022-01-02 12:00:00+00:00,8682
38,2022-01-02 13:00:00+00:00,8770
39,2022-01-02 14:00:00+00:00,8746
40,2022-01-02 15:00:00+00:00,8612
41,2022-01-02 16:00:00+00:00,8848
42,2022-01-02 17:00:00+00:00,8779
43,2022-01-02 18:00:00+00:00,8918
44,2022-01-02 19:00:00+00:00,8583
45,2022-01-02 20:00:00+00:00,8337
46,2022-01-02 21:00:00+00:00,8294
47,2022-01-02 22:00:00+00:00,8719
48,2022-01-02 23:00:00+00:00,8183
49,2022-01-03 00:00:00+00:00,6659
50,2022-01-03 01:00:00+00:00,6650
51,2022-01-03 02:00:00+00:00,6663
52,2022-01-03 03:00:00+00:00,7072
53,2022-01-03 04:00:00+00:00,7890
54,2022-01-03 05:00:00+00:00,8626
55,2022-01-03 06:00:00+00:00,8734
56,2022-01-03 07:00:00+00:00,8887
57,2022-01-03 08:00:00+00:00,8903
58,2022-01-03 09:00:00+00:00,8882
59,2022-01-03 10:00:00+00:00,8910
60,2022-01-03 11:00:00+00:00,8909
61,2022-01-03 12:00:00+00:00,8911
62,2022-01-03 13:00:00+00:00,8924
63,2022-01-03 14:00:00+00:00,8917
64,2022-01-03 15:00:00+00:00,8833
65,2022-01-03 16:00:00+00:00,8504
66,2022-01-03 17:00:00+00:00,8022
67,2022-01-03 18:00:00+00:00,7962
68,2022-01-03 19:00:00+00:00,7138
69,2022-01-03 20:00:00+00:00,6582
70,2022-01-03 21:00:00+00:00,5972
71,2022-01-03 22:00:00+00:00,5710
72,2022-01-03 23:00:00+00:00,5324
73,2022-01-04 00:00:00+00:00,5132
74,2022-01-04 01:00:00+00:00,5204
75,2022-01-04 02:00:00+00:00,4320
76,2022-01-04 03:00:00+00:00,3569
77,2022-01-04 04:00:00+00:00,3486
78,2022-01-04 05:00:00+00:00,2842
79,2022-01-04 06:00:00+00:00,3001
80,2022-01-04 07:00:00+00:00,2832
81,2022-01-04 08:00:00+00:00,3562
82,2022-01-04 09:00:00+00:00,1981
83,2022-01-04 10:00:00+00:00,3092
84,2022-01-04 11:00:00+00:00,3574
85,2022-01-04 12:00:00+00:00,4840
86,2022-01-04 13:00:00+00:00,4848
87,2022-01-04 14:00:00+00:00,3879
88,2022-01-04 15:00:00+00:00,5583
89,2022-01-04 16:00:00+00:00,4989
90,2022-01-04 17:00:00+00:00,6387
91,2022-01-04 18:00:00+00:00,7692
92,2022-01-04 19:00:00+00:00,7407
93,2022-01-04 20:00:00+00:00,8149
94,2022-01-04 21:00:00+00:00,8570
95,2022-01-04 22:00:00+00:00,8401
96,2022-01-04 23:00:00+00:00,8653
97,2022-01-05 00:00:00+00:00,8784
98,2022-01-05 01:00:00+00:00,8828
99,2022-01-05 02:00:00+00:00,8928
100,2022-01-05 03:00:00+00:00,8933
101,2022-01-05 04:00:00+00:00,8922
102,2022-01-05 05:00:00+00:00,8876
103,2022-01-05 06:00:00+00:00,8919
104,2022-01-05 07:00:00+00:00,8898
105,2022-01-05 08:00:00+00:00,8893
106,2022-01-05 09:00:00+00:00,8910
107,2022-01-05 10:00:00+00:00,8887
108,2022-01-05 11:00:00+00:00,8884
109,2022-01-05 12:00:00+00:00,8701
110,2022-01-05 13:00:00+00:00,8767
111,2022-01-05 14:00:00+00:00,8712
112,2022-01-05 15:00:00+00:00,8787
113,2022-01-05 16:00:00+00:00,8837
114,2022-01-05 17:00:00+00:00,8835
115,2022-01-05 18:00:00+00:00,8846
116,2022-01-05 19:00:00+00:00,8459
117,2022-01-05 20:00:00+00:00,7198
118,2022-01-05 21:00:00+00:00,6927
119,2022-01-05 22:00:00+00:00,5979
120,2022-01-05 23:00:00+00:00,7407
121,2022-01-06 00:00:00+00:00,5444
122,2022-01-06 01:00:00+00:00,4633
123,2022-01-06 02:00:00+00:00,4062
124,2022-01-06 03:00:00+00:00,3079
125,2022-01-06 04:00:00+00:00,1595
126,2022-01-06 05:00:00+00:00,1245
127,2022-01-06 06:00:00+00:00,1200
128,2022-01-06 07:00:00+00:00,358
129,2022-01-06 08:00:00+00:00,332
130,2022-01-06 09:00:00+00:00,794
131,2022-01-06 10:00:00+00:00,1409
132,2022-01-06 11:00:00+00:00,2336
133,2022-01-06 12:00:00+00:00,2881
134,2022-01-06 13:00:00+00:00,3881
135,2022-01-06 14:00:00+00:00,5070
136,2022-01-06 15:00:00+00:00,6183
137,2022-01-06 16:00:00+00:00,7198
138,2022-01-06 17:00:00+00:00,8463
139,2022-01-06 18:00:00+00:00,8923
140,2022-01-06 19:00:00+00:00,8944
141,2022-01-06 20:00:00+00:00,8706
142,2022-01-06 21:00:00+00:00,8121
143,2022-01-06 22:00:00+00:00,8501
144,2022-01-06 23:00:00+00:00,8570
145,2022-01-07 00:00:00+00:00,8593
146,2022-01-07 01:00:00+00:00,8739
147,2022-01-07 02:00:00+00:00,7819
148,2022-01-07 03:00:00+00:00,8510
149,2022-01-07 04:00:00+00:00,8290
150,2022-01-07 05:00:00+00:00,8661
151,2022-01-07 06:00:00+00:00,8654
152,2022-01-07 07:00:00+00:00,8825
153,2022-01-07 08:00:00+00:00,8832
154,2022-01-07 09:00:00+00:00,8360
155,2022-01-07 10:00:00+00:00,7734
156,2022-01-07 11:00:00+00:00,7869
157,2022-01-07 12:00:00+00:00,8030
158,2022-01-07 13:00:00+00:00,8620
159,2022-01-07 14:00:00+00:00,8137
160,2022-01-07 15:00:00+00:00,7311
161,2022-01-07 16:00:00+00:00,6487
162,2022-01-07 17:00:00+00:00,6191
163,2022-01-07 18:00:00+00:00,5619
164,2022-01-07 19:00:00+00:00,5503
165,2022-01-07 20:00:00+00:00,5982
166,2022-01-07 21:00:00+00:00,5530
167,2022-01-07 22:00:00+00:00,5775
168,2022-01-07 23:00:00+00:00,5596
169,2022-01-08 00:00:00+00:00,5877
170,2022-01-08 01:00:00+00:00,4794
171,2022-01-08 02:00:00+00:00,3400
172,2022-01-08 03:00:00+00:00,2957
173,2022-01-08 04:00:00+00:00,3221
174,2022-01-08 05:00:00+00:00,2767
175,2022-01-08 06:00:00+00:00,2877
176,2022-01-08 07:00:00+00:00,4279
177,2022-01-08 08:00:00+00:00,5956
178,2022-01-08 09:00:00+00:00,8054
179,2022-01-08 10:00:00+00:00,8755
180,2022-01-08 11:00:00+00:00,8872
181,2022-01-08 12:00:00+00:00,8869
182,2022-01-08 13:00:00+00:00,8901
183,2022-01-08 14:00:00+00:00,8924
184,2022-01-08 15:00:00+00:00,8863
185,2022-01-08 16:00:00+00:00,8841
186,2022-01-08 17:00:00+00:00,8848
187,2022-01-08 18:00:00+00:00,8751
188,2022-01-08 19:00:00+00:00,7798
189,2022-01-08 20:00:00+00:00,8563
190,2022-01-08 21:00:00+00:00,8704
191,2022-01-08 22:00:00+00:00,8672
192,2022-01-08 23:00:00+00:00,7468
193,2022-01-09 00:00:00+00:00,8131
194,2022-01-09 01:00:00+00:00,7503
195,2022-01-09 02:00:00+00:00,8125
196,2022-01-09 03:00:00+00:00,8838
197,2022-01-09 04:00:00+00:00,8791
198,2022-01-09 05:00:00+00:00,8745
199,2022-01-09 06:00:00+00:00,8368
200,2022-01-09 07:00:00+00:00,8172
201,2022-01-09 08:00:00+00:00,8371
202,2022-01-09 09:00:00+00:00,7727
203,2022-01-09 10:00:00+00:00,6768
204,2022-01-09 11:00:00+00:00,6134
205,2022-01-09 12:00:00+00:00,4454
206,2022-01-09 13:00:00+00:00,3656
207,2022-01-09 14:00:00+00:00,2873
208,2022-01-09 15:00:00+00:00,2186
209,2022-01-09 16:00:00+00:00,2133
210,2022-01-09 17:00:00+00:00,1840
211,2022-01-09 18:00:00+00:00,1678
212,2022-01-09 19:00:00+00:00,1556
213,2022-01-09 20:00:00+00:00,1304
214,2022-01-09 21:00:00+00:00,939
215,2022-01-09 22:00:00+00:00,463
216,2022-01-09 23:00:00+00:00,473
217,2022-01-10 00:00:00+00:00,214
218,2022-01-10 01:00:00+00:00,132
219,2022-01-10 02:00:00+00:00,75
220,2022-01-10 03:00:00+00:00,124
221,2022-01-10 04:00:00+00:00,103
222,2022-01-10 05:00:00+00:00,124
223,2022-01-10 06:00:00+00:00,283
224,2022-01-10 07:00:00+00:00,274
225,2022-01-10 08:00:00+00:00,317
226,2022-01-10 09:00:00+00:00,350
227,2022-01-10 10:00:00+00:00,362
228,2022-01-10 11:00:00+00:00,509
229,2022-01-10 12:00:00+00:00,560
230,2022-01-10 13:00:00+00:00,544
231,2022-01-10 14:00:00+00:00,705
232,2022-01-10 15:00:00+00:00,834
233,2022-01-10 16:00:00+00:00,919
234,2022-01-10 17:00:00+00:00,1720
235,2022-01-10 18:00:00+00:00,1932
236,2022-01-10 19:00:00+00:00,2322
237,2022-01-10 20:00:00+00:00,2302
238,2022-01-10 21:00:00+00:00,2756
239,2022-01-10 22:00:00+00:00,3160
240,2022-01-10 23:00:00+00:00,3381
241,2022-01-11 00:00:00+00:00,3670
242,2022-01-11 01:00:00+00:00,3578
243,2022-01-11 02:00:00+00:00,4057
244,2022-01-11 03:00:00+00:00,4011
245,2022-01-11 04:00:00+00:00,3916
246,2022-01-11 05:00:00+00:00,4095
247,2022-01-11 06:00:00+00:00,4108
248,2022-01-11 07:00:00+00:00,3725
249,2022-01-11 08:00:00+00:00,4067
250,2022-01-11 09:00:00+00:00,4191
251,2022-01-11 10:00:00+00:00,4235
252,2022-01-11 11:00:00+00:00,3847
253,2022-01-11 12:00:00+00:00,3830
254,2022-01-11 13:00:00+00:00,3410
255,2022-01-11 14:00:00+00:00,3221
256,2022-01-11 15:00:00+00:00,2992
257,2022-01-11 16:00:00+00:00,2932
258,2022-01-11 17:00:00+00:00,2826
259,2022-01-11 18:00:00+00:00,1935
260,2022-01-11 19:00:00+00:00,1228
261,2022-01-11 20:00:00+00:00,1048
262,2022-01-11 21:00:00+00:00,865
263,2022-01-11 22:00:00+00:00,815
264,2022-01-11 23:00:00+00:00,372
265,2022-01-12 00:00:00+00:00,360
266,2022-01-12 01:00:00+00:00,520
267,2022-01-12 02:00:00+00:00,855
268,2022-01-12 03:00:00+00:00,862
269,2022-01-12 04:00:00+00:00,781
270,2022-01-12 05:00:00+00:00,830
271,2022-01-12 06:00:00+00:00,734
272,2022-01-12 07:00:00+00:00,593
273,2022-01-12 08:00:00+00:00,544
274,2022-01-12 09:00:00+00:00,614
275,2022-01-12 10:00:00+00:00,605
276,2022-01-12 11:00:00+00:00,772
277,2022-01-12 12:00:00+00:00,709
278,2022-01-12 13:00:00+00:00,892
279,2022-01-12 14:00:00+00:00,1044
280,2022-01-12 15:00:00+00:00,1112
281,2022-01-12 16:00:00+00:00,1020
282,2022-01-12 17:00:00+00:00,864
283,2022-01-12 18:00:00+00:00,1076
284,2022-01-12 19:00:00+00:00,1260
285,2022-01-12 20:00:00+00:00,1258
286,2022-01-12 21:00:00+00:00,1250
287,2022-01-12 22:00:00+00:00,1637
288,2022-01-12 23:00:00+00:00,1524
289,2022-01-13 00:00:00+00:00,1812
290,2022-01-13 01:00:00+00:00,1823
291,2022-01-13 02:00:00+00:00,1716
