,StartTime,Load
0,2021-12-31 23:00:00+00:00,3314
1,2022-01-01 00:00:00+00:00,3218
2,2022-01-01 01:00:00+00:00,3126
3,2022-01-01 02:00:00+00:00,3080
4,2022-01-01 03:00:00+00:00,3044
5,2022-01-01 04:00:00+00:00,3130
6,2022-01-01 05:00:00+00:00,3238
7,2022-01-01 06:00:00+00:00,3378
8,2022-01-01 07:00:00+00:00,3537
9,2022-01-01 08:00:00+00:00,3714
10,2022-01-01 09:00:00+00:00,3818
11,2022-01-01 10:00:00+00:00,3893
12,2022-01-01 11:00:00+00:00,3943
13,2022-01-01 12:00:00+00:00,3915
14,2022-01-01 13:00:00+00:00,3988
15,2022-01-01 14:00:00+00:00,4213
16,2022-01-01 15:00:00+00:00,4473
17,2022-01-01 16:00:00+00:00,4407
18,2022-01-01 17:00:00+00:00,4133
19,2022-01-01 18:00:00+00:00,3970
20,2022-01-01 19:00:00+00:00,3821
21,2022-01-01 20:00:00+00:00,3619
22,2022-01-01 21:00:00+00:00,3462
23,2022-01-01 22:00:00+00:00,3351
24,2022-01-01 23:00:00+00:00,3173
25,2022-01-02 00:00:00+00:00,3128
26,2022-01-02 01:00:00+00:00,3093
27,2022-01-02 02:00:00+00:00,3063
28,2022-01-02 03:00:00+00:00,3149
29,2022-01-02 04:00:00+00:00,3260
30,2022-01-02 05:00:00+00:00,3455
31,2022-01-02 06:00:00+00:00,3722
32,2022-01-02 07:00:00+00:00,3905
33,2022-01-02 08:00:00+00:00,4097
34,2022-01-02 09:00:00+00:00,4167
35,2022-01-02 10:00:00+00:00,4198
36,2022-01-02 11:00:00+00:00,4212
37,2022-01-02 12:00:00+00:00,4191
38,2022-01-02 13:00:00+00:00,4301
39,2022-01-02 14:00:00+00:00,4521
40,2022-01-02 15:00:00+00:00,4873
41,2022-01-02 16:00:00+00:00,4735
42,2022-01-02 17:00:00+00:00,4433
43,2022-01-02 18:00:00+00:00,4183
44,2022-01-02 19:00:00+00:00,3974
45,2022-01-02 20:00:00+00:00,3769
46,2022-01-02 21:00:00+00:00,3559
47,2022-01-02 22:00:00+00:00,3394
48,2022-01-02 23:00:00+00:00,3345
49,2022-01-03 00:00:00+00:00,3308
50,2022-01-03 01:00:00+00:00,3285
51,2022-01-03 02:00:00+00:00,3361
52,2022-01-03 03:00:00+00:00,3584
53,2022-01-03 04:00:00+00:00,4201
54,2022-01-03 05:00:00+00:00,4772
55,2022-01-03 06:00:00+00:00,5079
56,2022-01-03 07:00:00+00:00,5072
57,2022-01-03 08:00:00+00:00,5190
58,2022-01-03 09:00:00+00:00,5246
59,2022-01-03 10:00:00+00:00,5134
60,2022-01-03 11:00:00+00:00,5078
61,2022-01-03 12:00:00+00:00,5043
62,2022-01-03 13:00:00+00:00,5021
63,2022-01-03 14:00:00+00:00,5200
64,2022-01-03 15:00:00+00:00,5535
65,2022-01-03 16:00:00+00:00,5326
66,2022-01-03 17:00:00+00:00,4973
67,2022-01-03 18:00:00+00:00,4586
68,2022-01-03 19:00:00+00:00,4316
69,2022-01-03 20:00:00+00:00,4040
70,2022-01-03 21:00:00+00:00,3758
71,2022-01-03 22:00:00+00:00,3577
72,2022-01-03 23:00:00+00:00,3488
73,2022-01-04 00:00:00+00:00,3429
74,2022-01-04 01:00:00+00:00,3454
75,2022-01-04 02:00:00+00:00,3528
76,2022-01-04 03:00:00+00:00,3716
77,2022-01-04 04:00:00+00:00,4255
78,2022-01-04 05:00:00+00:00,4878
79,2022-01-04 06:00:00+00:00,5205
80,2022-01-04 07:00:00+00:00,5238
81,2022-01-04 08:00:00+00:00,5314
82,2022-01-04 09:00:00+00:00,5333
83,2022-01-04 10:00:00+00:00,5260
84,2022-01-04 11:00:00+00:00,5227
85,2022-01-04 12:00:00+00:00,5188
86,2022-01-04 13:00:00+00:00,5091
87,2022-01-04 14:00:00+00:00,5299
88,2022-01-04 15:00:00+00:00,5641
89,2022-01-04 16:00:00+00:00,5430
90,2022-01-04 17:00:00+00:00,5147
91,2022-01-04 18:00:00+00:00,4855
92,2022-01-04 19:00:00+00:00,4594
93,2022-01-04 20:00:00+00:00,4322
94,2022-01-04 21:00:00+00:00,4036
95,2022-01-04 22:00:00+00:00,3905
96,2022-01-04 23:00:00+00:00,3780
97,2022-01-05 00:00:00+00:00,3879
98,2022-01-05 01:00:00+00:00,3864
99,2022-01-05 02:00:00+00:00,3871
100,2022-01-05 03:00:00+00:00,3959
101,2022-01-05 04:00:00+00:00,4512
102,2022-01-05 05:00:00+00:00,5145
103,2022-01-05 06:00:00+00:00,5389
104,2022-01-05 07:00:00+00:00,5428
105,2022-01-05 08:00:00+00:00,5469
106,2022-01-05 09:00:00+00:00,5472
107,2022-01-05 10:00:00+00:00,5433
108,2022-01-05 11:00:00+00:00,5414
109,2022-01-05 12:00:00+00:00,5362
110,2022-01-05 13:00:00+00:00,5284
111,2022-01-05 14:00:00+00:00,5458
112,2022-01-05 15:00:00+00:00,5818
113,2022-01-05 16:00:00+00:00,5596
114,2022-01-05 17:00:00+00:00,5287
115,2022-01-05 18:00:00+00:00,5031
116,2022-01-05 19:00:00+00:00,4844
117,2022-01-05 20:00:00+00:00,4572
118,2022-01-05 21:00:00+00:00,4315
119,2022-01-05 22:00:00+00:00,4051
120,2022-01-05 23:00:00+00:00,3967
121,2022-01-06 00:00:00+00:00,3895
122,2022-01-06 01:00:00+00:00,3864
123,2022-01-06 02:00:00+00:00,3941
124,2022-01-06 03:00:00+00:00,4163
125,2022-01-06 04:00:00+00:00,4765
126,2022-01-06 05:00:00+00:00,5371
127,2022-01-06 06:00:00+00:00,5633
128,2022-01-06 07:00:00+00:00,5608
129,2022-01-06 08:00:00+00:00,5592
130,2022-01-06 09:00:00+00:00,5447
131,2022-01-06 10:00:00+00:00,5326
132,2022-01-06 11:00:00+00:00,5293
133,2022-01-06 12:00:00+00:00,5205
134,2022-01-06 13:00:00+00:00,5163
135,2022-01-06 14:00:00+00:00,5410
136,2022-01-06 15:00:00+00:00,5817
137,2022-01-06 16:00:00+00:00,5655
138,2022-01-06 17:00:00+00:00,5309
139,2022-01-06 18:00:00+00:00,5009
140,2022-01-06 19:00:00+00:00,4730
141,2022-01-06 20:00:00+00:00,4498
142,2022-01-06 21:00:00+00:00,4232
143,2022-01-06 22:00:00+00:00,3987
144,2022-01-06 23:00:00+00:00,3853
145,2022-01-07 00:00:00+00:00,3869
146,2022-01-07 01:00:00+00:00,3872
147,2022-01-07 02:00:00+00:00,3852
148,2022-01-07 03:00:00+00:00,4171
149,2022-01-07 04:00:00+00:00,4794
150,2022-01-07 05:00:00+00:00,5394
151,2022-01-07 06:00:00+00:00,5609
152,2022-01-07 07:00:00+00:00,5619
153,2022-01-07 08:00:00+00:00,5591
154,2022-01-07 09:00:00+00:00,5597
155,2022-01-07 10:00:00+00:00,5519
156,2022-01-07 11:00:00+00:00,5388
157,2022-01-07 12:00:00+00:00,5191
158,2022-01-07 13:00:00+00:00,5138
159,2022-01-07 14:00:00+00:00,5283
160,2022-01-07 15:00:00+00:00,5579
161,2022-01-07 16:00:00+00:00,5438
162,2022-01-07 17:00:00+00:00,5066
163,2022-01-07 18:00:00+00:00,4717
164,2022-01-07 19:00:00+00:00,4432
165,2022-01-07 20:00:00+00:00,4267
166,2022-01-07 21:00:00+00:00,3991
167,2022-01-07 22:00:00+00:00,3824
168,2022-01-07 23:00:00+00:00,3685
169,2022-01-08 00:00:00+00:00,3584
170,2022-01-08 01:00:00+00:00,3533
171,2022-01-08 02:00:00+00:00,3529
172,2022-01-08 03:00:00+00:00,3600
173,2022-01-08 04:00:00+00:00,3788
174,2022-01-08 05:00:00+00:00,4014
175,2022-01-08 06:00:00+00:00,4328
176,2022-01-08 07:00:00+00:00,4580
177,2022-01-08 08:00:00+00:00,4783
178,2022-01-08 09:00:00+00:00,4768
179,2022-01-08 10:00:00+00:00,4645
180,2022-01-08 11:00:00+00:00,4578
181,2022-01-08 12:00:00+00:00,4535
182,2022-01-08 13:00:00+00:00,4581
183,2022-01-08 14:00:00+00:00,4834
184,2022-01-08 15:00:00+00:00,5239
185,2022-01-08 16:00:00+00:00,5146
186,2022-01-08 17:00:00+00:00,4788
187,2022-01-08 18:00:00+00:00,4523
188,2022-01-08 19:00:00+00:00,4330
189,2022-01-08 20:00:00+00:00,4159
190,2022-01-08 21:00:00+00:00,3981
191,2022-01-08 22:00:00+00:00,3915
192,2022-01-08 23:00:00+00:00,3813
193,2022-01-09 00:00:00+00:00,3723
194,2022-01-09 01:00:00+00:00,3759
195,2022-01-09 02:00:00+00:00,3755
196,2022-01-09 03:00:00+00:00,3805
197,2022-01-09 04:00:00+00:00,3892
198,2022-01-09 05:00:00+00:00,4045
199,2022-01-09 06:00:00+00:00,4322
200,2022-01-09 07:00:00+00:00,4486
201,2022-01-09 08:00:00+00:00,4651
202,2022-01-09 09:00:00+00:00,4716
203,2022-01-09 10:00:00+00:00,4724
204,2022-01-09 11:00:00+00:00,4655
205,2022-01-09 12:00:00+00:00,4602
206,2022-01-09 13:00:00+00:00,4646
207,2022-01-09 14:00:00+00:00,4819
208,2022-01-09 15:00:00+00:00,5241
