,StartTime,Load
0,2021-12-31 23:00:00+00:00,4254
1,2022-01-01 00:00:00+00:00,16457
2,2022-01-01 01:00:00+00:00,15426
3,2022-01-01 02:00:00+00:00,14781
4,2022-01-01 03:00:00+00:00,14630
5,2022-01-01 04:00:00+00:00,14688
6,2022-01-01 05:00:00+00:00,14960
7,2022-01-01 06:00:00+00:00,15034
8,2022-01-01 07:00:00+00:00,15259
9,2022-01-01 08:00:00+00:00,15551
10,2022-01-01 09:00:00+00:00,16045
11,2022-01-01 10:00:00+00:00,16500
12,2022-01-01 11:00:00+00:00,16966
13,2022-01-01 12:00:00+00:00,17195
14,2022-01-01 13:00:00+00:00,17488
15,2022-01-01 14:00:00+00:00,18052
16,2022-01-01 15:00:00+00:00,19157
17,2022-01-01 16:00:00+00:00,19169
18,2022-01-01 17:00:00+00:00,19117
19,2022-01-01 18:00:00+00:00,19077
20,2022-01-01 19:00:00+00:00,18695
21,2022-01-01 20:00:00+00:00,18142
22,2022-01-01 21:00:00+00:00,17310
23,2022-01-01 22:00:00+00:00,16380
24,2022-01-01 23:00:00+00:00,15480
25,2022-01-02 00:00:00+00:00,14901
26,2022-01-02 01:00:00+00:00,14342
27,2022-01-02 02:00:00+00:00,14142
28,2022-01-02 03:00:00+00:00,14436
29,2022-01-02 04:00:00+00:00,15008
30,2022-01-02 05:00:00+00:00,16122
31,2022-01-02 06:00:00+00:00,16881
32,2022-01-02 07:00:00+00:00,17859
33,2022-01-02 08:00:00+00:00,18359
34,2022-01-02 09:00:00+00:00,18526
35,2022-01-02 10:00:00+00:00,18846
36,2022-01-02 11:00:00+00:00,18756
37,2022-01-02 12:00:00+00:00,18838
38,2022-01-02 13:00:00+00:00,19191
39,2022-01-02 14:00:00+00:00,19941
40,2022-01-02 15:00:00+00:00,21433
41,2022-01-02 16:00:00+00:00,21539
42,2022-01-02 17:00:00+00:00,21399
43,2022-01-02 18:00:00+00:00,21157
44,2022-01-02 19:00:00+00:00,20457
45,2022-01-02 20:00:00+00:00,19465
46,2022-01-02 21:00:00+00:00,18475
47,2022-01-02 22:00:00+00:00,17309
48,2022-01-02 23:00:00+00:00,16340
49,2022-01-03 00:00:00+00:00,15728
50,2022-01-03 01:00:00+00:00,15247
51,2022-01-03 02:00:00+00:00,15225
52,2022-01-03 03:00:00+00:00,16018
53,2022-01-03 04:00:00+00:00,18135
54,2022-01-03 05:00:00+00:00,21080
55,2022-01-03 06:00:00+00:00,22265
56,2022-01-03 07:00:00+00:00,22989
57,2022-01-03 08:00:00+00:00,23502
58,2022-01-03 09:00:00+00:00,23775
59,2022-01-03 10:00:00+00:00,23804
60,2022-01-03 11:00:00+00:00,23651
61,2022-01-03 12:00:00+00:00,22992
62,2022-01-03 13:00:00+00:00,23119
63,2022-01-03 14:00:00+00:00,23529
64,2022-01-03 15:00:00+00:00,24350
65,2022-01-03 16:00:00+00:00,24105
66,2022-01-03 17:00:00+00:00,23765
67,2022-01-03 18:00:00+00:00,23324
68,2022-01-03 19:00:00+00:00,22524
69,2022-01-03 20:00:00+00:00,21649
70,2022-01-03 21:00:00+00:00,20734
71,2022-01-03 22:00:00+00:00,19566
72,2022-01-03 23:00:00+00:00,18383
73,2022-01-04 00:00:00+00:00,17491
74,2022-01-04 01:00:00+00:00,16824
75,2022-01-04 02:00:00+00:00,16628
76,2022-01-04 03:00:00+00:00,17349
77,2022-01-04 04:00:00+00:00,19280
78,2022-01-04 05:00:00+00:00,22153
79,2022-01-04 06:00:00+00:00,22996
80,2022-01-04 07:00:00+00:00,22979
81,2022-01-04 08:00:00+00:00,22958
82,2022-01-04 09:00:00+00:00,23194
83,2022-01-04 10:00:00+00:00,23504
84,2022-01-04 11:00:00+00:00,23930
85,2022-01-04 12:00:00+00:00,23658
86,2022-01-04 13:00:00+00:00,23807
87,2022-01-04 14:00:00+00:00,24064
88,2022-01-04 15:00:00+00:00,24804
89,2022-01-04 16:00:00+00:00,24481
90,2022-01-04 17:00:00+00:00,24196
91,2022-01-04 18:00:00+00:00,23676
92,2022-01-04 19:00:00+00:00,22830
93,2022-01-04 20:00:00+00:00,21785
94,2022-01-04 21:00:00+00:00,20845
95,2022-01-04 22:00:00+00:00,19721
96,2022-01-04 23:00:00+00:00,18448
97,2022-01-05 00:00:00+00:00,17644
98,2022-01-05 01:00:00+00:00,17016
99,2022-01-05 02:00:00+00:00,16847
100,2022-01-05 03:00:00+00:00,17583
101,2022-01-05 04:00:00+00:00,19351
102,2022-01-05 05:00:00+00:00,22297
103,2022-01-05 06:00:00+00:00,23121
104,2022-01-05 07:00:00+00:00,23629
105,2022-01-05 08:00:00+00:00,23905
106,2022-01-05 09:00:00+00:00,24176
107,2022-01-05 10:00:00+00:00,24580
108,2022-01-05 11:00:00+00:00,24634
109,2022-01-05 12:00:00+00:00,24283
110,2022-01-05 13:00:00+00:00,24548
111,2022-01-05 14:00:00+00:00,24738
112,2022-01-05 15:00:00+00:00,25260
113,2022-01-05 16:00:00+00:00,24805
114,2022-01-05 17:00:00+00:00,24515
115,2022-01-05 18:00:00+00:00,24048
116,2022-01-05 19:00:00+00:00,23220
117,2022-01-05 20:00:00+00:00,22289
118,2022-01-05 21:00:00+00:00,21453
119,2022-01-05 22:00:00+00:00,20432
120,2022-01-05 23:00:00+00:00,19179
121,2022-01-06 00:00:00+00:00,18356
122,2022-01-06 01:00:00+00:00,17668
123,2022-01-06 02:00:00+00:00,17518
124,2022-01-06 03:00:00+00:00,18269
125,2022-01-06 04:00:00+00:00,20137
126,2022-01-06 05:00:00+00:00,23160
127,2022-01-06 06:00:00+00:00,24170
128,2022-01-06 07:00:00+00:00,24458
129,2022-01-06 08:00:00+00:00,24250
130,2022-01-06 09:00:00+00:00,24073
131,2022-01-06 10:00:00+00:00,24298
132,2022-01-06 11:00:00+00:00,24507
133,2022-01-06 12:00:00+00:00,24278
134,2022-01-06 13:00:00+00:00,24527
135,2022-01-06 14:00:00+00:00,24744
136,2022-01-06 15:00:00+00:00,25493
137,2022-01-06 16:00:00+00:00,25290
138,2022-01-06 17:00:00+00:00,25096
139,2022-01-06 18:00:00+00:00,24771
140,2022-01-06 19:00:00+00:00,23984
141,2022-01-06 20:00:00+00:00,23026
142,2022-01-06 21:00:00+00:00,22152
143,2022-01-06 22:00:00+00:00,21060
144,2022-01-06 23:00:00+00:00,19668
145,2022-01-07 00:00:00+00:00,18965
146,2022-01-07 01:00:00+00:00,18378
147,2022-01-07 02:00:00+00:00,18244
148,2022-01-07 03:00:00+00:00,19047
149,2022-01-07 04:00:00+00:00,20997
150,2022-01-07 05:00:00+00:00,24068
151,2022-01-07 06:00:00+00:00,24879
152,2022-01-07 07:00:00+00:00,24279
153,2022-01-07 08:00:00+00:00,23325
