,StartTime,Load
0,2021-12-31 23:00:00+00:00,21121
1,2022-01-01 00:00:00+00:00,19756
2,2022-01-01 01:00:00+00:00,18685
3,2022-01-01 02:00:00+00:00,18124
4,2022-01-01 03:00:00+00:00,18400
5,2022-01-01 04:00:00+00:00,19223
6,2022-01-01 05:00:00+00:00,19738
7,2022-01-01 06:00:00+00:00,20289
8,2022-01-01 07:00:00+00:00,21469
9,2022-01-01 08:00:00+00:00,22735
10,2022-01-01 09:00:00+00:00,23636
11,2022-01-01 10:00:00+00:00,24182
12,2022-01-01 11:00:00+00:00,23270
13,2022-01-01 12:00:00+00:00,22755
14,2022-01-01 13:00:00+00:00,22881
15,2022-01-01 14:00:00+00:00,23818
16,2022-01-01 15:00:00+00:00,26742
17,2022-01-01 16:00:00+00:00,27672
18,2022-01-01 17:00:00+00:00,28393
19,2022-01-01 18:00:00+00:00,27996
20,2022-01-01 19:00:00+00:00,26693
21,2022-01-01 20:00:00+00:00,24635
22,2022-01-01 21:00:00+00:00,22404
23,2022-01-01 22:00:00+00:00,20428
24,2022-01-01 23:00:00+00:00,18989
25,2022-01-02 00:00:00+00:00,18083
26,2022-01-02 01:00:00+00:00,17740
27,2022-01-02 02:00:00+00:00,17737
28,2022-01-02 03:00:00+00:00,18409
29,2022-01-02 04:00:00+00:00,19869
30,2022-01-02 05:00:00+00:00,21148
31,2022-01-02 06:00:00+00:00,22332
32,2022-01-02 07:00:00+00:00,23775
33,2022-01-02 08:00:00+00:00,24697
34,2022-01-02 09:00:00+00:00,25360
35,2022-01-02 10:00:00+00:00,26123
36,2022-01-02 11:00:00+00:00,25308
37,2022-01-02 12:00:00+00:00,24751
38,2022-01-02 13:00:00+00:00,24918
39,2022-01-02 14:00:00+00:00,26049
40,2022-01-02 15:00:00+00:00,28970
41,2022-01-02 16:00:00+00:00,30088
42,2022-01-02 17:00:00+00:00,30781
43,2022-01-02 18:00:00+00:00,29662
44,2022-01-02 19:00:00+00:00,27563
45,2022-01-02 20:00:00+00:00,25326
46,2022-01-02 21:00:00+00:00,22897
47,2022-01-02 22:00:00+00:00,20859
48,2022-01-02 23:00:00+00:00,19413
49,2022-01-03 00:00:00+00:00,18841
50,2022-01-03 01:00:00+00:00,18543
51,2022-01-03 02:00:00+00:00,19052
52,2022-01-03 03:00:00+00:00,20705
53,2022-01-03 04:00:00+00:00,24670
54,2022-01-03 05:00:00+00:00,28930
55,2022-01-03 06:00:00+00:00,32665
56,2022-01-03 07:00:00+00:00,35378
57,2022-01-03 08:00:00+00:00,35696
58,2022-01-03 09:00:00+00:00,35706
59,2022-01-03 10:00:00+00:00,34695
60,2022-01-03 11:00:00+00:00,34343
61,2022-01-03 12:00:00+00:00,34803
62,2022-01-03 13:00:00+00:00,35188
63,2022-01-03 14:00:00+00:00,36242
64,2022-01-03 15:00:00+00:00,38273
65,2022-01-03 16:00:00+00:00,38007
66,2022-01-03 17:00:00+00:00,37629
67,2022-01-03 18:00:00+00:00,35243
68,2022-01-03 19:00:00+00:00,32509
69,2022-01-03 20:00:00+00:00,29132
70,2022-01-03 21:00:00+00:00,26221
71,2022-01-03 22:00:00+00:00,23813
72,2022-01-03 23:00:00+00:00,22311
73,2022-01-04 00:00:00+00:00,21366
74,2022-01-04 01:00:00+00:00,21079
75,2022-01-04 02:00:00+00:00,21376
76,2022-01-04 03:00:00+00:00,22797
77,2022-01-04 04:00:00+00:00,26625
78,2022-01-04 05:00:00+00:00,30832
79,2022-01-04 06:00:00+00:00,34806
80,2022-01-04 07:00:00+00:00,36950
81,2022-01-04 08:00:00+00:00,37370
82,2022-01-04 09:00:00+00:00,37404
83,2022-01-04 10:00:00+00:00,36515
84,2022-01-04 11:00:00+00:00,35879
85,2022-01-04 12:00:00+00:00,36285
86,2022-01-04 13:00:00+00:00,36395
87,2022-01-04 14:00:00+00:00,37175
88,2022-01-04 15:00:00+00:00,38809
89,2022-01-04 16:00:00+00:00,38606
90,2022-01-04 17:00:00+00:00,38158
91,2022-01-04 18:00:00+00:00,35807
92,2022-01-04 19:00:00+00:00,33021
93,2022-01-04 20:00:00+00:00,29495
94,2022-01-04 21:00:00+00:00,26393
95,2022-01-04 22:00:00+00:00,23875
96,2022-01-04 23:00:00+00:00,22316
97,2022-01-05 00:00:00+00:00,21457
98,2022-01-05 01:00:00+00:00,21328
99,2022-01-05 02:00:00+00:00,21548
100,2022-01-05 03:00:00+00:00,23074
101,2022-01-05 04:00:00+00:00,26683
102,2022-01-05 05:00:00+00:00,30651
103,2022-01-05 06:00:00+00:00,34278
104,2022-01-05 07:00:00+00:00,36402
105,2022-01-05 08:00:00+00:00,36448
106,2022-01-05 09:00:00+00:00,36161
107,2022-01-05 10:00:00+00:00,35419
108,2022-01-05 11:00:00+00:00,34559
109,2022-01-05 12:00:00+00:00,35010
110,2022-01-05 13:00:00+00:00,35036
111,2022-01-05 14:00:00+00:00,36026
112,2022-01-05 15:00:00+00:00,37864
113,2022-01-05 16:00:00+00:00,38054
114,2022-01-05 17:00:00+00:00,37569
115,2022-01-05 18:00:00+00:00,35162
116,2022-01-05 19:00:00+00:00,32140
117,2022-01-05 20:00:00+00:00,28971
118,2022-01-05 21:00:00+00:00,26109
119,2022-01-05 22:00:00+00:00,23797
120,2022-01-05 23:00:00+00:00,22257
121,2022-01-06 00:00:00+00:00,21403
122,2022-01-06 01:00:00+00:00,20860
123,2022-01-06 02:00:00+00:00,20830
124,2022-01-06 03:00:00+00:00,21359
125,2022-01-06 04:00:00+00:00,22470
126,2022-01-06 05:00:00+00:00,24291
127,2022-01-06 06:00:00+00:00,25936
128,2022-01-06 07:00:00+00:00,27884
129,2022-01-06 08:00:00+00:00,29106
130,2022-01-06 09:00:00+00:00,29169
131,2022-01-06 10:00:00+00:00,29057
132,2022-01-06 11:00:00+00:00,27238
133,2022-01-06 12:00:00+00:00,26974
134,2022-01-06 13:00:00+00:00,27105
135,2022-01-06 14:00:00+00:00,27979
136,2022-01-06 15:00:00+00:00,31157
137,2022-01-06 16:00:00+00:00,32505
138,2022-01-06 17:00:00+00:00,32972
139,2022-01-06 18:00:00+00:00,31777
140,2022-01-06 19:00:00+00:00,29627
141,2022-01-06 20:00:00+00:00,27348
142,2022-01-06 21:00:00+00:00,24725
143,2022-01-06 22:00:00+00:00,22992
144,2022-01-06 23:00:00+00:00,21386
145,2022-01-07 00:00:00+00:00,20609
146,2022-01-07 01:00:00+00:00,20460
147,2022-01-07 02:00:00+00:00,20816
148,2022-01-07 03:00:00+00:00,22275
149,2022-01-07 04:00:00+00:00,26081
150,2022-01-07 05:00:00+00:00,29831
151,2022-01-07 06:00:00+00:00,32797
152,2022-01-07 07:00:00+00:00,34710
153,2022-01-07 08:00:00+00:00,35433
154,2022-01-07 09:00:00+00:00,34919
155,2022-01-07 10:00:00+00:00,34330
156,2022-01-07 11:00:00+00:00,33466
157,2022-01-07 12:00:00+00:00,33507
158,2022-01-07 13:00:00+00:00,33812
159,2022-01-07 14:00:00+00:00,35054
160,2022-01-07 15:00:00+00:00,38172
161,2022-01-07 16:00:00+00:00,38629
162,2022-01-07 17:00:00+00:00,38417
163,2022-01-07 18:00:00+00:00,36227
164,2022-01-07 19:00:00+00:00,33343
165,2022-01-07 20:00:00+00:00,30090
166,2022-01-07 21:00:00+00:00,27169
167,2022-01-07 22:00:00+00:00,24784
168,2022-01-07 23:00:00+00:00,23317
169,2022-01-08 00:00:00+00:00,22441
170,2022-01-08 01:00:00+00:00,22024
171,2022-01-08 02:00:00+00:00,22037
172,2022-01-08 03:00:00+00:00,22884
173,2022-01-08 04:00:00+00:00,25201
174,2022-01-08 05:00:00+00:00,27606
175,2022-01-08 06:00:00+00:00,29716
176,2022-01-08 07:00:00+00:00,31611
