,StartTime,Load
0,2021-12-31 23:00:00+00:00,10326
1,2022-01-01 00:00:00+00:00,40706
2,2022-01-01 01:00:00+00:00,39465
3,2022-01-01 02:00:00+00:00,38923
4,2022-01-01 03:00:00+00:00,38211
5,2022-01-01 04:00:00+00:00,38146
6,2022-01-01 05:00:00+00:00,38956
7,2022-01-01 06:00:00+00:00,39968
8,2022-01-01 07:00:00+00:00,40808
9,2022-01-01 08:00:00+00:00,41742
10,2022-01-01 09:00:00+00:00,42796
11,2022-01-01 10:00:00+00:00,42494
12,2022-01-01 11:00:00+00:00,42294
13,2022-01-01 12:00:00+00:00,43153
14,2022-01-01 13:00:00+00:00,44379
15,2022-01-01 14:00:00+00:00,45865
16,2022-01-01 15:00:00+00:00,48406
17,2022-01-01 16:00:00+00:00,52021
18,2022-01-01 17:00:00+00:00,51429
19,2022-01-01 18:00:00+00:00,49999
20,2022-01-01 19:00:00+00:00,47940
21,2022-01-01 20:00:00+00:00,46052
22,2022-01-01 21:00:00+00:00,44113
23,2022-01-01 22:00:00+00:00,42275
24,2022-01-01 23:00:00+00:00,41053
25,2022-01-02 00:00:00+00:00,39562
26,2022-01-02 01:00:00+00:00,38687
27,2022-01-02 02:00:00+00:00,38236
28,2022-01-02 03:00:00+00:00,38283
29,2022-01-02 04:00:00+00:00,38979
30,2022-01-02 05:00:00+00:00,40264
31,2022-01-02 06:00:00+00:00,42237
32,2022-01-02 07:00:00+00:00,44702
33,2022-01-02 08:00:00+00:00,46562
34,2022-01-02 09:00:00+00:00,46441
35,2022-01-02 10:00:00+00:00,47998
36,2022-01-02 11:00:00+00:00,48585
37,2022-01-02 12:00:00+00:00,47660
38,2022-01-02 13:00:00+00:00,47919
39,2022-01-02 14:00:00+00:00,48988
40,2022-01-02 15:00:00+00:00,51783
41,2022-01-02 16:00:00+00:00,55587
42,2022-01-02 17:00:00+00:00,54121
43,2022-01-02 18:00:00+00:00,52577
44,2022-01-02 19:00:00+00:00,50705
45,2022-01-02 20:00:00+00:00,48614
46,2022-01-02 21:00:00+00:00,46842
47,2022-01-02 22:00:00+00:00,44466
48,2022-01-02 23:00:00+00:00,42800
49,2022-01-03 00:00:00+00:00,41392
50,2022-01-03 01:00:00+00:00,40806
51,2022-01-03 02:00:00+00:00,40492
52,2022-01-03 03:00:00+00:00,40988
53,2022-01-03 04:00:00+00:00,43740
54,2022-01-03 05:00:00+00:00,47804
55,2022-01-03 06:00:00+00:00,52778
56,2022-01-03 07:00:00+00:00,57029
57,2022-01-03 08:00:00+00:00,58111
58,2022-01-03 09:00:00+00:00,56875
59,2022-01-03 10:00:00+00:00,55464
60,2022-01-03 11:00:00+00:00,55854
61,2022-01-03 12:00:00+00:00,56252
62,2022-01-03 13:00:00+00:00,57466
63,2022-01-03 14:00:00+00:00,58816
64,2022-01-03 15:00:00+00:00,61242
65,2022-01-03 16:00:00+00:00,63810
66,2022-01-03 17:00:00+00:00,60621
67,2022-01-03 18:00:00+00:00,58003
68,2022-01-03 19:00:00+00:00,54823
69,2022-01-03 20:00:00+00:00,52129
70,2022-01-03 21:00:00+00:00,49295
71,2022-01-03 22:00:00+00:00,46530
72,2022-01-03 23:00:00+00:00,44424
73,2022-01-04 00:00:00+00:00,43524
74,2022-01-04 01:00:00+00:00,42615
75,2022-01-04 02:00:00+00:00,42249
76,2022-01-04 03:00:00+00:00,42804
77,2022-01-04 04:00:00+00:00,45047
78,2022-01-04 05:00:00+00:00,49175
79,2022-01-04 06:00:00+00:00,54802
80,2022-01-04 07:00:00+00:00,59275
81,2022-01-04 08:00:00+00:00,60815
82,2022-01-04 09:00:00+00:00,60695
83,2022-01-04 10:00:00+00:00,60731
84,2022-01-04 11:00:00+00:00,60624
85,2022-01-04 12:00:00+00:00,60527
86,2022-01-04 13:00:00+00:00,60152
87,2022-01-04 14:00:00+00:00,60484
88,2022-01-04 15:00:00+00:00,62735
89,2022-01-04 16:00:00+00:00,65179
90,2022-01-04 17:00:00+00:00,61854
91,2022-01-04 18:00:00+00:00,59419
92,2022-01-04 19:00:00+00:00,56378
93,2022-01-04 20:00:00+00:00,53698
94,2022-01-04 21:00:00+00:00,51094
95,2022-01-04 22:00:00+00:00,48171
96,2022-01-04 23:00:00+00:00,46082
97,2022-01-05 00:00:00+00:00,44542
98,2022-01-05 01:00:00+00:00,44317
99,2022-01-05 02:00:00+00:00,44149
100,2022-01-05 03:00:00+00:00,44739
101,2022-01-05 04:00:00+00:00,46258
102,2022-01-05 05:00:00+00:00,49996
103,2022-01-05 06:00:00+00:00,55534
104,2022-01-05 07:00:00+00:00,59353
105,2022-01-05 08:00:00+00:00,61021
106,2022-01-05 09:00:00+00:00,61124
107,2022-01-05 10:00:00+00:00,60209
108,2022-01-05 11:00:00+00:00,59304
109,2022-01-05 12:00:00+00:00,59158
110,2022-01-05 13:00:00+00:00,59484
111,2022-01-05 14:00:00+00:00,60449
112,2022-01-05 15:00:00+00:00,62690
113,2022-01-05 16:00:00+00:00,65027
114,2022-01-05 17:00:00+00:00,62286
115,2022-01-05 18:00:00+00:00,59793
116,2022-01-05 19:00:00+00:00,56930
117,2022-01-05 20:00:00+00:00,54108
118,2022-01-05 21:00:00+00:00,51647
119,2022-01-05 22:00:00+00:00,48823
120,2022-01-05 23:00:00+00:00,46607
121,2022-01-06 00:00:00+00:00,44926
122,2022-01-06 01:00:00+00:00,43936
123,2022-01-06 02:00:00+00:00,43617
124,2022-01-06 03:00:00+00:00,44290
125,2022-01-06 04:00:00+00:00,46569
126,2022-01-06 05:00:00+00:00,51235
127,2022-01-06 06:00:00+00:00,57237
128,2022-01-06 07:00:00+00:00,60865
129,2022-01-06 08:00:00+00:00,59895
130,2022-01-06 09:00:00+00:00,56254
131,2022-01-06 10:00:00+00:00,53946
132,2022-01-06 11:00:00+00:00,52892
133,2022-01-06 12:00:00+00:00,53562
134,2022-01-06 13:00:00+00:00,55745
135,2022-01-06 14:00:00+00:00,58746
136,2022-01-06 15:00:00+00:00,62312
137,2022-01-06 16:00:00+00:00,65345
138,2022-01-06 17:00:00+00:00,62671
139,2022-01-06 18:00:00+00:00,60087
140,2022-01-06 19:00:00+00:00,57242
141,2022-01-06 20:00:00+00:00,54355
142,2022-01-06 21:00:00+00:00,51176
143,2022-01-06 22:00:00+00:00,48467
144,2022-01-06 23:00:00+00:00,46534
145,2022-01-07 00:00:00+00:00,44996
146,2022-01-07 01:00:00+00:00,43913
147,2022-01-07 02:00:00+00:00,43252
148,2022-01-07 03:00:00+00:00,43937
149,2022-01-07 04:00:00+00:00,45972
150,2022-01-07 05:00:00+00:00,50094
151,2022-01-07 06:00:00+00:00,55364
152,2022-01-07 07:00:00+00:00,59510
153,2022-01-07 08:00:00+00:00,60270
154,2022-01-07 09:00:00+00:00,58822
155,2022-01-07 10:00:00+00:00,57216
156,2022-01-07 11:00:00+00:00,57208
157,2022-01-07 12:00:00+00:00,57496
158,2022-01-07 13:00:00+00:00,58620
159,2022-01-07 14:00:00+00:00,59952
160,2022-01-07 15:00:00+00:00,61849
161,2022-01-07 16:00:00+00:00,63875
162,2022-01-07 17:00:00+00:00,61344
163,2022-01-07 18:00:00+00:00,58692
164,2022-01-07 19:00:00+00:00,55978
165,2022-01-07 20:00:00+00:00,53240
166,2022-01-07 21:00:00+00:00,50276
167,2022-01-07 22:00:00+00:00,47876
168,2022-01-07 23:00:00+00:00,46441
169,2022-01-08 00:00:00+00:00,45103
170,2022-01-08 01:00:00+00:00,43938
171,2022-01-08 02:00:00+00:00,42972
172,2022-01-08 03:00:00+00:00,43129
173,2022-01-08 04:00:00+00:00,44362
174,2022-01-08 05:00:00+00:00,46133
175,2022-01-08 06:00:00+00:00,48407
176,2022-01-08 07:00:00+00:00,51083
177,2022-01-08 08:00:00+00:00,52765
178,2022-01-08 09:00:00+00:00,53386
179,2022-01-08 10:00:00+00:00,53587
180,2022-01-08 11:00:00+00:00,53954
181,2022-01-08 12:00:00+00:00,54699
182,2022-01-08 13:00:00+00:00,55728
183,2022-01-08 14:00:00+00:00,56287
184,2022-01-08 15:00:00+00:00,58088
185,2022-01-08 16:00:00+00:00,60536
186,2022-01-08 17:00:00+00:00,58553
187,2022-01-08 18:00:00+00:00,56189
188,2022-01-08 19:00:00+00:00,53161
189,2022-01-08 20:00:00+00:00,51056
190,2022-01-08 21:00:00+00:00,48901
191,2022-01-08 22:00:00+00:00,46830
192,2022-01-08 23:00:00+00:00,44718
193,2022-01-09 00:00:00+00:00,43657
194,2022-01-09 01:00:00+00:00,42827
195,2022-01-09 02:00:00+00:00,41823
196,2022-01-09 03:00:00+00:00,41723
197,2022-01-09 04:00:00+00:00,42409
198,2022-01-09 05:00:00+00:00,43688
199,2022-01-09 06:00:00+00:00,45764
200,2022-01-09 07:00:00+00:00,47644
201,2022-01-09 08:00:00+00:00,48748
202,2022-01-09 09:00:00+00:00,48586
203,2022-01-09 10:00:00+00:00,47980
204,2022-01-09 11:00:00+00:00,47366
205,2022-01-09 12:00:00+00:00,47128
206,2022-01-09 13:00:00+00:00,48044
207,2022-01-09 14:00:00+00:00,49958
208,2022-01-09 15:00:00+00:00,54013
209,2022-01-09 16:00:00+00:00,59212
210,2022-01-09 17:00:00+00:00,57664
211,2022-01-09 18:00:00+00:00,55799
212,2022-01-09 19:00:00+00:00,53644
213,2022-01-09 20:00:00+00:00,51308
214,2022-01-09 21:00:00+00:00,49131
215,2022-01-09 22:00:00+00:00,46626
216,2022-01-09 23:00:00+00:00,45132
217,2022-01-10 00:00:00+00:00,43895
218,2022-01-10 01:00:00+00:00,43386
219,2022-01-10 02:00:00+00:00,43203
220,2022-01-10 03:00:00+00:00,44050
221,2022-01-10 04:00:00+00:00,46653
222,2022-01-10 05:00:00+00:00,51887
223,2022-01-10 06:00:00+00:00,59219
224,2022-01-10 07:00:00+00:00,63708
225,2022-01-10 08:00:00+00:00,63368
226,2022-01-10 09:00:00+00:00,60467
227,2022-01-10 10:00:00+00:00,57646
228,2022-01-10 11:00:00+00:00,56018
229,2022-01-10 12:00:00+00:00,55343
230,2022-01-10 13:00:00+00:00,56170
231,2022-01-10 14:00:00+00:00,59861
232,2022-01-10 15:00:00+00:00,63786
233,2022-01-10 16:00:00+00:00,66666
234,2022-01-10 17:00:00+00:00,64047
235,2022-01-10 18:00:00+00:00,61655
236,2022-01-10 19:00:00+00:00,58648
237,2022-01-10 20:00:00+00:00,55600
238,2022-01-10 21:00:00+00:00,52490
239,2022-01-10 22:00:00+00:00,49466
240,2022-01-10 23:00:00+00:00,47487
241,2022-01-11 00:00:00+00:00,46124
242,2022-01-11 01:00:00+00:00,45464
243,2022-01-11 02:00:00+00:00,45187
244,2022-01-11 03:00:00+00:00,45806
245,2022-01-11 04:00:00+00:00,48116
246,2022-01-11 05:00:00+00:00,53687
247,2022-01-11 06:00:00+00:00,60847
248,2022-01-11 07:00:00+00:00,64084
249,2022-01-11 08:00:00+00:00,63545
250,2022-01-11 09:00:00+00:00,60977
251,2022-01-11 10:00:00+00:00,58366
252,2022-01-11 11:00:00+00:00,56213
253,2022-01-11 12:00:00+00:00,57002
254,2022-01-11 13:00:00+00:00,58053
255,2022-01-11 14:00:00+00:00,60762
256,2022-01-11 15:00:00+00:00,63944
257,2022-01-11 16:00:00+00:00,67236
258,2022-01-11 17:00:00+00:00,64483
259,2022-01-11 18:00:00+00:00,61745
260,2022-01-11 19:00:00+00:00,58320
261,2022-01-11 20:00:00+00:00,55529
262,2022-01-11 21:00:00+00:00,52417
263,2022-01-11 22:00:00+00:00,49631
264,2022-01-11 23:00:00+00:00,47343
265,2022-01-12 00:00:00+00:00,45882
266,2022-01-12 01:00:00+00:00,45020
267,2022-01-12 02:00:00+00:00,45045
268,2022-01-12 03:00:00+00:00,45714
269,2022-01-12 04:00:00+00:00,47920
270,2022-01-12 05:00:00+00:00,53118
271,2022-01-12 06:00:00+00:00,60004
272,2022-01-12 07:00:00+00:00,64547
273,2022-01-12 08:00:00+00:00,64579
274,2022-01-12 09:00:00+00:00,62658
275,2022-01-12 10:00:00+00:00,61205
276,2022-01-12 11:00:00+00:00,60078
277,2022-01-12 12:00:00+00:00,60336
278,2022-01-12 13:00:00+00:00,61193
279,2022-01-12 14:00:00+00:00,62342
280,2022-01-12 15:00:00+00:00,64585
281,2022-01-12 16:00:00+00:00,67251
282,2022-01-12 17:00:00+00:00,64476
283,2022-01-12 18:00:00+00:00,61842
284,2022-01-12 19:00:00+00:00,58721
285,2022-01-12 20:00:00+00:00,55830
286,2022-01-12 21:00:00+00:00,52349
287,2022-01-12 22:00:00+00:00,49369
288,2022-01-12 23:00:00+00:00,47151
289,2022-01-13 00:00:00+00:00,45518
290,2022-01-13 01:00:00+00:00,44861
291,2022-01-13 02:00:00+00:00,44708
292,2022-01-13 03:00:00+00:00,45240
293,2022-01-13 04:00:00+00:00,47498
294,2022-01-13 05:00:00+00:00,52813
295,2022-01-13 06:00:00+00:00,60249
296,2022-01-13 07:00:00+00:00,64439
297,2022-01-13 08:00:00+00:00,64834
298,2022-01-13 09:00:00+00:00,63751
299,2022-01-13 10:00:00+00:00,63052
