,StartTime,Load
0,2021-12-31 23:00:00+00:00,14438
1,2022-01-01 00:00:00+00:00,13935
2,2022-01-01 01:00:00+00:00,13579
3,2022-01-01 02:00:00+00:00,13397
4,2022-01-01 03:00:00+00:00,13364
5,2022-01-01 04:00:00+00:00,13449
6,2022-01-01 05:00:00+00:00,13444
7,2022-01-01 06:00:00+00:00,13527
8,2022-01-01 07:00:00+00:00,14202
9,2022-01-01 08:00:00+00:00,14851
10,2022-01-01 09:00:00+00:00,15643
11,2022-01-01 10:00:00+00:00,16235
12,2022-01-01 11:00:00+00:00,16712
13,2022-01-01 12:00:00+00:00,16874
14,2022-01-01 13:00:00+00:00,17032
15,2022-01-01 14:00:00+00:00,17715
16,2022-01-01 15:00:00+00:00,17887
17,2022-01-01 16:00:00+00:00,17929
18,2022-01-01 17:00:00+00:00,17898
19,2022-01-01 18:00:00+00:00,17594
20,2022-01-01 19:00:00+00:00,16972
21,2022-01-01 20:00:00+00:00,16426
22,2022-01-01 21:00:00+00:00,15411
23,2022-01-01 22:00:00+00:00,14480
24,2022-01-01 23:00:00+00:00,13833
25,2022-01-02 00:00:00+00:00,13451
26,2022-01-02 01:00:00+00:00,13267
27,2022-01-02 02:00:00+00:00,13326
28,2022-01-02 03:00:00+00:00,13714
29,2022-01-02 04:00:00+00:00,14230
30,2022-01-02 05:00:00+00:00,14542
31,2022-01-02 06:00:00+00:00,14960
32,2022-01-02 07:00:00+00:00,15855
33,2022-01-02 08:00:00+00:00,16709
34,2022-01-02 09:00:00+00:00,17032
35,2022-01-02 10:00:00+00:00,17414
36,2022-01-02 11:00:00+00:00,18006
37,2022-01-02 12:00:00+00:00,17914
38,2022-01-02 13:00:00+00:00,18024
39,2022-01-02 14:00:00+00:00,18627
40,2022-01-02 15:00:00+00:00,18737
41,2022-01-02 16:00:00+00:00,18753
42,2022-01-02 17:00:00+00:00,18774
43,2022-01-02 18:00:00+00:00,18378
44,2022-01-02 19:00:00+00:00,17527
45,2022-01-02 20:00:00+00:00,16897
46,2022-01-02 21:00:00+00:00,15711
47,2022-01-02 22:00:00+00:00,14918
48,2022-01-02 23:00:00+00:00,14446
49,2022-01-03 00:00:00+00:00,14223
50,2022-01-03 01:00:00+00:00,14320
51,2022-01-03 02:00:00+00:00,14814
52,2022-01-03 03:00:00+00:00,15727
53,2022-01-03 04:00:00+00:00,18749
54,2022-01-03 05:00:00+00:00,20921
55,2022-01-03 06:00:00+00:00,22135
56,2022-01-03 07:00:00+00:00,22929
57,2022-01-03 08:00:00+00:00,22935
58,2022-01-03 09:00:00+00:00,23366
59,2022-01-03 10:00:00+00:00,23608
60,2022-01-03 11:00:00+00:00,23666
61,2022-01-03 12:00:00+00:00,23374
62,2022-01-03 13:00:00+00:00,23417
63,2022-01-03 14:00:00+00:00,23971
64,2022-01-03 15:00:00+00:00,23882
65,2022-01-03 16:00:00+00:00,23558
66,2022-01-03 17:00:00+00:00,23340
67,2022-01-03 18:00:00+00:00,22852
68,2022-01-03 19:00:00+00:00,21306
69,2022-01-03 20:00:00+00:00,19825
70,2022-01-03 21:00:00+00:00,18509
71,2022-01-03 22:00:00+00:00,17594
72,2022-01-03 23:00:00+00:00,16880
73,2022-01-04 00:00:00+00:00,16612
74,2022-01-04 01:00:00+00:00,16603
75,2022-01-04 02:00:00+00:00,16936
76,2022-01-04 03:00:00+00:00,17763
77,2022-01-04 04:00:00+00:00,20158
78,2022-01-04 05:00:00+00:00,22051
79,2022-01-04 06:00:00+00:00,23023
80,2022-01-04 07:00:00+00:00,23454
81,2022-01-04 08:00:00+00:00,23660
82,2022-01-04 09:00:00+00:00,24118
83,2022-01-04 10:00:00+00:00,24361
84,2022-01-04 11:00:00+00:00,24276
85,2022-01-04 12:00:00+00:00,24024
86,2022-01-04 13:00:00+00:00,23959
87,2022-01-04 14:00:00+00:00,24402
88,2022-01-04 15:00:00+00:00,24328
89,2022-01-04 16:00:00+00:00,23992
90,2022-01-04 17:00:00+00:00,23736
91,2022-01-04 18:00:00+00:00,23112
92,2022-01-04 19:00:00+00:00,21669
93,2022-01-04 20:00:00+00:00,20229
94,2022-01-04 21:00:00+00:00,18802
95,2022-01-04 22:00:00+00:00,17752
96,2022-01-04 23:00:00+00:00,17163
97,2022-01-05 00:00:00+00:00,16787
98,2022-01-05 01:00:00+00:00,16803
99,2022-01-05 02:00:00+00:00,17166
100,2022-01-05 03:00:00+00:00,17874
101,2022-01-05 04:00:00+00:00,20243
102,2022-01-05 05:00:00+00:00,22207
103,2022-01-05 06:00:00+00:00,23028
104,2022-01-05 07:00:00+00:00,23535
105,2022-01-05 08:00:00+00:00,23727
106,2022-01-05 09:00:00+00:00,24107
107,2022-01-05 10:00:00+00:00,24197
