,StartTime,Load
0,2021-12-31 23:00:00+00:00,20827
1,2022-01-01 00:00:00+00:00,19530
2,2022-01-01 01:00:00+00:00,18383
3,2022-01-01 02:00:00+00:00,17680
4,2022-01-01 03:00:00+00:00,17396
5,2022-01-01 04:00:00+00:00,17544
6,2022-01-01 05:00:00+00:00,17866
7,2022-01-01 06:00:00+00:00,17806
8,2022-01-01 07:00:00+00:00,18533
9,2022-01-01 08:00:00+00:00,20018
10,2022-01-01 09:00:00+00:00,20989
11,2022-01-01 10:00:00+00:00,21514
12,2022-01-01 11:00:00+00:00,22105
13,2022-01-01 12:00:00+00:00,22384
14,2022-01-01 13:00:00+00:00,21106
15,2022-01-01 14:00:00+00:00,20617
16,2022-01-01 15:00:00+00:00,21096
17,2022-01-01 16:00:00+00:00,23211
18,2022-01-01 17:00:00+00:00,24435
19,2022-01-01 18:00:00+00:00,24964
20,2022-01-01 19:00:00+00:00,25189
21,2022-01-01 20:00:00+00:00,24134
22,2022-01-01 21:00:00+00:00,22552
23,2022-01-01 22:00:00+00:00,21048
24,2022-01-01 23:00:00+00:00,19473
25,2022-01-02 00:00:00+00:00,18375
26,2022-01-02 01:00:00+00:00,17841
27,2022-01-02 02:00:00+00:00,17539
28,2022-01-02 03:00:00+00:00,17684
29,2022-01-02 04:00:00+00:00,18353
30,2022-01-02 05:00:00+00:00,19223
31,2022-01-02 06:00:00+00:00,19936
32,2022-01-02 07:00:00+00:00,21531
33,2022-01-02 08:00:00+00:00,23286
34,2022-01-02 09:00:00+00:00,24126
35,2022-01-02 10:00:00+00:00,24202
36,2022-01-02 11:00:00+00:00,24673
37,2022-01-02 12:00:00+00:00,24921
38,2022-01-02 13:00:00+00:00,23869
39,2022-01-02 14:00:00+00:00,23258
40,2022-01-02 15:00:00+00:00,23642
41,2022-01-02 16:00:00+00:00,25965
42,2022-01-02 17:00:00+00:00,27307
43,2022-01-02 18:00:00+00:00,28243
44,2022-01-02 19:00:00+00:00,28062
45,2022-01-02 20:00:00+00:00,26650
46,2022-01-02 21:00:00+00:00,24535
47,2022-01-02 22:00:00+00:00,22800
48,2022-01-02 23:00:00+00:00,21173
49,2022-01-03 00:00:00+00:00,20153
50,2022-01-03 01:00:00+00:00,19679
51,2022-01-03 02:00:00+00:00,19754
52,2022-01-03 03:00:00+00:00,20516
53,2022-01-03 04:00:00+00:00,22969
54,2022-01-03 05:00:00+00:00,26155
55,2022-01-03 06:00:00+00:00,28546
56,2022-01-03 07:00:00+00:00,30212
57,2022-01-03 08:00:00+00:00,31106
58,2022-01-03 09:00:00+00:00,30788
59,2022-01-03 10:00:00+00:00,30499
60,2022-01-03 11:00:00+00:00,30485
61,2022-01-03 12:00:00+00:00,30083
62,2022-01-03 13:00:00+00:00,29167
63,2022-01-03 14:00:00+00:00,28768
64,2022-01-03 15:00:00+00:00,29274
65,2022-01-03 16:00:00+00:00,31072
66,2022-01-03 17:00:00+00:00,31843
67,2022-01-03 18:00:00+00:00,32306
68,2022-01-03 19:00:00+00:00,31729
69,2022-01-03 20:00:00+00:00,29097
70,2022-01-03 21:00:00+00:00,26455
71,2022-01-03 22:00:00+00:00,24775
72,2022-01-03 23:00:00+00:00,22985
73,2022-01-04 00:00:00+00:00,21880
74,2022-01-04 01:00:00+00:00,21345
75,2022-01-04 02:00:00+00:00,21264
76,2022-01-04 03:00:00+00:00,21935
77,2022-01-04 04:00:00+00:00,24068
78,2022-01-04 05:00:00+00:00,26973
79,2022-01-04 06:00:00+00:00,28993
80,2022-01-04 07:00:00+00:00,30459
81,2022-01-04 08:00:00+00:00,31305
82,2022-01-04 09:00:00+00:00,31355
83,2022-01-04 10:00:00+00:00,31292
