,StartTime,Load
0,2021-12-31 23:00:00+00:00,677
1,2022-01-01 00:00:00+00:00,1244
2,2022-01-01 01:00:00+00:00,1131
3,2022-01-01 02:00:00+00:00,1091
4,2022-01-01 03:00:00+00:00,969
5,2022-01-01 04:00:00+00:00,896
6,2022-01-01 05:00:00+00:00,871
7,2022-01-01 06:00:00+00:00,860
8,2022-01-01 07:00:00+00:00,922
9,2022-01-01 08:00:00+00:00,1017
10,2022-01-01 09:00:00+00:00,1095
11,2022-01-01 10:00:00+00:00,1232
12,2022-01-01 11:00:00+00:00,1351
13,2022-01-01 12:00:00+00:00,1508
14,2022-01-01 13:00:00+00:00,1653
15,2022-01-01 14:00:00+00:00,1682
16,2022-01-01 15:00:00+00:00,1671
17,2022-01-01 16:00:00+00:00,1741
18,2022-01-01 17:00:00+00:00,1977
19,2022-01-01 18:00:00+00:00,2083
20,2022-01-01 19:00:00+00:00,1925
21,2022-01-01 20:00:00+00:00,1801
22,2022-01-01 21:00:00+00:00,1691
23,2022-01-01 22:00:00+00:00,1534
24,2022-01-01 23:00:00+00:00,1385
25,2022-01-02 00:00:00+00:00,626
26,2022-01-02 01:00:00+00:00,0
27,2022-01-02 02:00:00+00:00,525
28,2022-01-02 03:00:00+00:00,1008
29,2022-01-02 04:00:00+00:00,971
30,2022-01-02 05:00:00+00:00,942
31,2022-01-02 06:00:00+00:00,948
32,2022-01-02 07:00:00+00:00,1010
33,2022-01-02 08:00:00+00:00,1119
34,2022-01-02 09:00:00+00:00,1241
35,2022-01-02 10:00:00+00:00,1420
36,2022-01-02 11:00:00+00:00,1562
37,2022-01-02 12:00:00+00:00,1678
38,2022-01-02 13:00:00+00:00,1770
39,2022-01-02 14:00:00+00:00,1747
40,2022-01-02 15:00:00+00:00,1719
41,2022-01-02 16:00:00+00:00,1803
42,2022-01-02 17:00:00+00:00,2088
43,2022-01-02 18:00:00+00:00,2184
44,2022-01-02 19:00:00+00:00,1973
45,2022-01-02 20:00:00+00:00,1794
46,2022-01-02 21:00:00+00:00,1655
47,2022-01-02 22:00:00+00:00,1501
48,2022-01-02 23:00:00+00:00,1322
49,2022-01-03 00:00:00+00:00,1129
50,2022-01-03 01:00:00+00:00,1012
51,2022-01-03 02:00:00+00:00,980
52,2022-01-03 03:00:00+00:00,926
53,2022-01-03 04:00:00+00:00,911
54,2022-01-03 05:00:00+00:00,930
55,2022-01-03 06:00:00+00:00,990
56,2022-01-03 07:00:00+00:00,1170
57,2022-01-03 08:00:00+00:00,1341
58,2022-01-03 09:00:00+00:00,1489
59,2022-01-03 10:00:00+00:00,1670
60,2022-01-03 11:00:00+00:00,1781
61,2022-01-03 12:00:00+00:00,1857
62,2022-01-03 13:00:00+00:00,1969
63,2022-01-03 14:00:00+00:00,1979
64,2022-01-03 15:00:00+00:00,1979
65,2022-01-03 16:00:00+00:00,2046
66,2022-01-03 17:00:00+00:00,2398
67,2022-01-03 18:00:00+00:00,2500
68,2022-01-03 19:00:00+00:00,2291
69,2022-01-03 20:00:00+00:00,2150
70,2022-01-03 21:00:00+00:00,1984
71,2022-01-03 22:00:00+00:00,1792
72,2022-01-03 23:00:00+00:00,1587
73,2022-01-04 00:00:00+00:00,1399
74,2022-01-04 01:00:00+00:00,1261
75,2022-01-04 02:00:00+00:00,1242
76,2022-01-04 03:00:00+00:00,1194
77,2022-01-04 04:00:00+00:00,1156
78,2022-01-04 05:00:00+00:00,1148
79,2022-01-04 06:00:00+00:00,1258
80,2022-01-04 07:00:00+00:00,1530
81,2022-01-04 08:00:00+00:00,1892
82,2022-01-04 09:00:00+00:00,2147
83,2022-01-04 10:00:00+00:00,2285
84,2022-01-04 11:00:00+00:00,2317
85,2022-01-04 12:00:00+00:00,2335
86,2022-01-04 13:00:00+00:00,2393
87,2022-01-04 14:00:00+00:00,2340
88,2022-01-04 15:00:00+00:00,2335
89,2022-01-04 16:00:00+00:00,2424
90,2022-01-04 17:00:00+00:00,2722
91,2022-01-04 18:00:00+00:00,1423
92,2022-01-04 19:00:00+00:00,1255
93,2022-01-04 20:00:00+00:00,2383
94,2022-01-04 21:00:00+00:00,2180
95,2022-01-04 22:00:00+00:00,1964
96,2022-01-04 23:00:00+00:00,1700
97,2022-01-05 00:00:00+00:00,1453
98,2022-01-05 01:00:00+00:00,1326
99,2022-01-05 02:00:00+00:00,1310
100,2022-01-05 03:00:00+00:00,1269
101,2022-01-05 04:00:00+00:00,1257
102,2022-01-05 05:00:00+00:00,1283
103,2022-01-05 06:00:00+00:00,1377
104,2022-01-05 07:00:00+00:00,1675
105,2022-01-05 08:00:00+00:00,2125
106,2022-01-05 09:00:00+00:00,2356
107,2022-01-05 10:00:00+00:00,2496
108,2022-01-05 11:00:00+00:00,2560
109,2022-01-05 12:00:00+00:00,1285
110,2022-01-05 13:00:00+00:00,1296
111,2022-01-05 14:00:00+00:00,2520
112,2022-01-05 15:00:00+00:00,2506
113,2022-01-05 16:00:00+00:00,2578
114,2022-01-05 17:00:00+00:00,2905
115,2022-01-05 18:00:00+00:00,1519
116,2022-01-05 19:00:00+00:00,1342
117,2022-01-05 20:00:00+00:00,2531
118,2022-01-05 21:00:00+00:00,2326
119,2022-01-05 22:00:00+00:00,2072
120,2022-01-05 23:00:00+00:00,1772
121,2022-01-06 00:00:00+00:00,783
122,2022-01-06 01:00:00+00:00,679
123,2022-01-06 02:00:00+00:00,678
124,2022-01-06 03:00:00+00:00,623
125,2022-01-06 04:00:00+00:00,1184
126,2022-01-06 05:00:00+00:00,1193
127,2022-01-06 06:00:00+00:00,617
128,2022-01-06 07:00:00+00:00,847
129,2022-01-06 08:00:00+00:00,2073
130,2022-01-06 09:00:00+00:00,2304
131,2022-01-06 10:00:00+00:00,2411
132,2022-01-06 11:00:00+00:00,2439
133,2022-01-06 12:00:00+00:00,2443
134,2022-01-06 13:00:00+00:00,2425
135,2022-01-06 14:00:00+00:00,2318
136,2022-01-06 15:00:00+00:00,2321
137,2022-01-06 16:00:00+00:00,2437
138,2022-01-06 17:00:00+00:00,2743
139,2022-01-06 18:00:00+00:00,2809
140,2022-01-06 19:00:00+00:00,2576
141,2022-01-06 20:00:00+00:00,2387
142,2022-01-06 21:00:00+00:00,2196
143,2022-01-06 22:00:00+00:00,1943
144,2022-01-06 23:00:00+00:00,1686
145,2022-01-07 00:00:00+00:00,1460
146,2022-01-07 01:00:00+00:00,1348
147,2022-01-07 02:00:00+00:00,1303
148,2022-01-07 03:00:00+00:00,1268
149,2022-01-07 04:00:00+00:00,1242
150,2022-01-07 05:00:00+00:00,1243
151,2022-01-07 06:00:00+00:00,1370
152,2022-01-07 07:00:00+00:00,1658
153,2022-01-07 08:00:00+00:00,2104
154,2022-01-07 09:00:00+00:00,2350
155,2022-01-07 10:00:00+00:00,2510
156,2022-01-07 11:00:00+00:00,2550
157,2022-01-07 12:00:00+00:00,2552
158,2022-01-07 13:00:00+00:00,2544
159,2022-01-07 14:00:00+00:00,2448
160,2022-01-07 15:00:00+00:00,2383
161,2022-01-07 16:00:00+00:00,2416
162,2022-01-07 17:00:00+00:00,1301
163,2022-01-07 18:00:00+00:00,1398
164,2022-01-07 19:00:00+00:00,2603
165,2022-01-07 20:00:00+00:00,2384
166,2022-01-07 21:00:00+00:00,2184
167,2022-01-07 22:00:00+00:00,1948
168,2022-01-07 23:00:00+00:00,1705
169,2022-01-08 00:00:00+00:00,1465
170,2022-01-08 01:00:00+00:00,1338
171,2022-01-08 02:00:00+00:00,1287
172,2022-01-08 03:00:00+00:00,1182
173,2022-01-08 04:00:00+00:00,1127
174,2022-01-08 05:00:00+00:00,1110
175,2022-01-08 06:00:00+00:00,1140
176,2022-01-08 07:00:00+00:00,1326
177,2022-01-08 08:00:00+00:00,1562
178,2022-01-08 09:00:00+00:00,1757
179,2022-01-08 10:00:00+00:00,1954
180,2022-01-08 11:00:00+00:00,2059
181,2022-01-08 12:00:00+00:00,2086
182,2022-01-08 13:00:00+00:00,2093
183,2022-01-08 14:00:00+00:00,2040
184,2022-01-08 15:00:00+00:00,2010
185,2022-01-08 16:00:00+00:00,2058
186,2022-01-08 17:00:00+00:00,2307
187,2022-01-08 18:00:00+00:00,2470
188,2022-01-08 19:00:00+00:00,2301
189,2022-01-08 20:00:00+00:00,2099
190,2022-01-08 21:00:00+00:00,1933
191,2022-01-08 22:00:00+00:00,1751
192,2022-01-08 23:00:00+00:00,1582
193,2022-01-09 00:00:00+00:00,1405
194,2022-01-09 01:00:00+00:00,1279
195,2022-01-09 02:00:00+00:00,1256
196,2022-01-09 03:00:00+00:00,1188
197,2022-01-09 04:00:00+00:00,1155
198,2022-01-09 05:00:00+00:00,1142
199,2022-01-09 06:00:00+00:00,1169
200,2022-01-09 07:00:00+00:00,1258
201,2022-01-09 08:00:00+00:00,1389
202,2022-01-09 09:00:00+00:00,1543
203,2022-01-09 10:00:00+00:00,1748
204,2022-01-09 11:00:00+00:00,1922
205,2022-01-09 12:00:00+00:00,2039
206,2022-01-09 13:00:00+00:00,2172
207,2022-01-09 14:00:00+00:00,1087
208,2022-01-09 15:00:00+00:00,1064
209,2022-01-09 16:00:00+00:00,2185
210,2022-01-09 17:00:00+00:00,2470
211,2022-01-09 18:00:00+00:00,2586
212,2022-01-09 19:00:00+00:00,2394
213,2022-01-09 20:00:00+00:00,2227
214,2022-01-09 21:00:00+00:00,2048
215,2022-01-09 22:00:00+00:00,1835
216,2022-01-09 23:00:00+00:00,1622
217,2022-01-10 00:00:00+00:00,1430
218,2022-01-10 01:00:00+00:00,1299
219,2022-01-10 02:00:00+00:00,1275
220,2022-01-10 03:00:00+00:00,1240
221,2022-01-10 04:00:00+00:00,1198
222,2022-01-10 05:00:00+00:00,1206
223,2022-01-10 06:00:00+00:00,1330
224,2022-01-10 07:00:00+00:00,1667
225,2022-01-10 08:00:00+00:00,2162
226,2022-01-10 09:00:00+00:00,2355
227,2022-01-10 10:00:00+00:00,2435
228,2022-01-10 11:00:00+00:00,2429
229,2022-01-10 12:00:00+00:00,2415
230,2022-01-10 13:00:00+00:00,2418
231,2022-01-10 14:00:00+00:00,2361
232,2022-01-10 15:00:00+00:00,2326
233,2022-01-10 16:00:00+00:00,2402
234,2022-01-10 17:00:00+00:00,2718
235,2022-01-10 18:00:00+00:00,2809
236,2022-01-10 19:00:00+00:00,2564
237,2022-01-10 20:00:00+00:00,2404
238,2022-01-10 21:00:00+00:00,2227
239,2022-01-10 22:00:00+00:00,2005
240,2022-01-10 23:00:00+00:00,1749
