Date,Hour,DEgen,DEload,DKgen,DKload,HUgen,HUload,ITgen,ITload,NEgen,NEload,POgen,POload,SEgen,SEload,SPgen,SPload,UKgen,UKload,HU_surplus,IT_surplus,PO_surplus,SP_surplus,DE_surplus,DK_surplus,SE_surplus,NE_surplus
2022-01-26,23,157769.0,229000.0,4695.0,3912.0,898.0,21808.0,5348.0,27465.0,15798.0,46721.0,5670.0,18504.0,11696.0,16174.0,7517.0,25797.0,865.0,1649.0,-20910.0,-22117.0,-12834.0,-18280.0,-71231.0,783.0,-4478.0,-30923.0
2022-01-27,0,164895.0,225922.0,4637.0,3825.0,913.0,20986.0,5162.0,26588.0,16103.0,45289.0,5599.0,18105.0,11209.0,15759.0,7110.0,24596.0,2042.0,1424.0,-20073.0,-21426.0,-12506.0,-17486.0,-61027.0,812.0,-4550.0,-29186.0
2022-01-27,1,171274.0,224274.0,4789.0,3786.0,840.0,20356.0,5582.0,26343.0,16450.0,44319.0,5659.0,18228.0,11231.0,15546.0,6449.0,24061.0,1852.0,1304.0,-19516.0,-20761.0,-12569.0,-17612.0,-53000.0,1003.0,-4315.0,-27869.0
2022-01-27,2,176025.0,224262.0,4752.0,3838.0,855.0,20250.0,5295.0,26740.0,16663.0,43847.0,5648.0,18518.0,11636.0,15856.0,6469.0,24068.0,1344.0,1305.0,-19395.0,-21445.0,-12870.0,-17599.0,-48237.0,914.0,-4220.0,-27184.0
2022-01-27,3,174827.0,231010.0,4832.0,4065.0,895.0,20953.0,5634.0,28908.0,16825.0,44446.0,5659.0,19274.0,12357.0,16391.0,6424.0,24733.0,851.0,1282.0,-20058.0,-23274.0,-13615.0,-18309.0,-56183.0,767.0,-4034.0,-27621.0
2022-01-27,4,175992.0,245760.0,4880.0,4521.0,880.0,22767.0,6147.0,34625.0,16907.0,46847.0,5835.0,21732.0,13681.0,17787.0,6863.0,27525.0,864.0,1236.0,-21887.0,-28478.0,-15897.0,-20662.0,-69768.0,359.0,-4106.0,-29940.0
2022-01-27,5,178637.0,276432.0,5167.0,5135.0,862.0,25689.0,7690.0,41177.0,16727.0,51328.0,6003.0,23489.0,15212.0,19846.0,9073.0,31919.0,1354.0,1245.0,-24827.0,-33487.0,-17486.0,-22846.0,-97795.0,32.0,-4634.0,-34601.0
2022-01-27,6,183068.0,294767.0,5142.0,5315.0,998.0,26706.0,9873.0,45870.0,16494.0,58087.0,6283.0,24560.0,15568.0,19899.0,10864.0,34406.0,1834.0,1358.0,-25708.0,-35997.0,-18277.0,-23542.0,-111699.0,-173.0,-4331.0,-41593.0
2022-01-27,7,179825.0,301437.0,5154.0,5324.0,1392.0,27053.0,10828.0,47284.0,16415.0,62303.0,6799.0,25132.0,15540.0,19957.0,12725.0,35329.0,1490.0,1680.0,-25661.0,-36456.0,-18333.0,-22604.0,-121612.0,-170.0,-4417.0,-45888.0
2022-01-27,8,184521.0,305916.0,5357.0,5435.0,2235.0,26829.0,11303.0,47050.0,16195.0,63371.0,7225.0,25210.0,15436.0,20112.0,14100.0,35490.0,1358.0,2145.0,-24594.0,-35747.0,-17985.0,-21390.0,-121395.0,-78.0,-4676.0,-47176.0
2022-01-27,9,192396.0,309378.0,5441.0,5376.0,3108.0,26420.0,10635.0,46261.0,16164.0,62868.0,7259.0,25472.0,15249.0,20093.0,14093.0,34971.0,1396.0,2292.0,-23312.0,-35626.0,-18213.0,-20878.0,-116982.0,65.0,-4844.0,-46704.0
2022-01-27,10,198394.0,312683.0,5458.0,5384.0,3781.0,25947.0,10604.0,44059.0,16065.0,62250.0,7310.0,25762.0,15166.0,19882.0,14040.0,34722.0,1640.0,2347.0,-22166.0,-33455.0,-18452.0,-20682.0,-114289.0,74.0,-4716.0,-46185.0
2022-01-27,11,200964.0,308964.0,5322.0,5367.0,4084.0,25490.0,9569.0,43015.0,16094.0,60972.0,7386.0,25835.0,14921.0,19712.0,13858.0,34386.0,1734.0,2326.0,-21406.0,-33446.0,-18449.0,-20528.0,-108000.0,-45.0,-4791.0,-44878.0
2022-01-27,12,197337.0,302725.0,5167.0,5294.0,3727.0,25089.0,9028.0,44074.0,16045.0,60157.0,7185.0,25472.0,14844.0,19748.0,13687.0,33763.0,1714.0,2337.0,-21362.0,-35046.0,-18287.0,-20076.0,-105388.0,-127.0,-4904.0,-44112.0
2022-01-27,13,191052.0,298313.0,4946.0,5186.0,2616.0,25582.0,8293.0,44491.0,15745.0,59862.0,7240.0,25215.0,15022.0,19828.0,13755.0,33031.0,1542.0,2359.0,-22966.0,-36198.0,-17975.0,-19276.0,-107261.0,-240.0,-4806.0,-44117.0
2022-01-27,14,184009.0,296869.0,4910.0,5316.0,1338.0,26354.0,7779.0,44989.0,15009.0,60286.0,7208.0,25221.0,15239.0,20007.0,13234.0,32759.0,1100.0,2252.0,-25016.0,-37210.0,-18013.0,-19525.0,-112860.0,-406.0,-4768.0,-45277.0
2022-01-27,15,183190.0,299063.0,5519.0,5750.0,977.0,26987.0,8734.0,46434.0,14516.0,62065.0,7169.0,25406.0,15468.0,20535.0,11716.0,32859.0,708.0,2222.0,-26010.0,-37700.0,-18237.0,-21143.0,-115873.0,-231.0,-5067.0,-47549.0
