StartTime,EndTime,AreaID,UnitName,quantity_B01,hourly_time,quantity_B09,quantity_B10,quantity_B11,quantity_B12,quantity_B14,quantity_B15,quantity_B16,quantity_B17,quantity_B18,quantity_B19,total_green_energy,Load
2021-12-31 23:00:00+00:00,2022-01-01 00:00:00+00:00,10Y1001A1001A83F,MAW,4333,2021-12-31 23:00:00+00:00,26,2835,1424,119,3351,126,0,846,5688,24850,43598,42196
2022-01-01 00:00:00+00:00,2022-01-01 01:00:00+00:00,10Y1001A1001A83F,MAW,17295,2022-01-01 00:00:00+00:00,104,14490,5690,378,13388,504,0,3355,23112,95800,174116,165125
2022-01-01 01:00:00+00:00,2022-01-01 02:00:00+00:00,10Y1001A1001A83F,MAW,17322,2022-01-01 01:00:00+00:00,106,14738,5683,132,13378,504,0,3321,21798,91464,168446,160415
2022-01-01 02:00:00+00:00,2022-01-01 03:00:00+00:00,10Y1001A1001A83F,MAW,17343,2022-01-01 02:00:00+00:00,108,16031,5685,167,13364,504,0,3322,21818,86282,164624,158035
2022-01-01 03:00:00+00:00,2022-01-01 04:00:00+00:00,10Y1001A1001A83F,MAW,17354,2022-01-01 03:00:00+00:00,108,15190,5676,299,13373,504,0,3290,21773,80912,158479,157016
2022-01-01 04:00:00+00:00,2022-01-01 05:00:00+00:00,10Y1001A1001A83F,MAW,17401,2022-01-01 04:00:00+00:00,108,13054,5637,270,13387,504,0,3328,17212,77784,148685,154552
2022-01-01 05:00:00+00:00,2022-01-01 06:00:00+00:00,10Y1001A1001A83F,MAW,17573,2022-01-01 05:00:00+00:00,108,10861,5640,132,13370,504,0,3333,18988,75539,146048,154275
2022-01-01 06:00:00+00:00,2022-01-01 07:00:00+00:00,10Y1001A1001A83F,MAW,17839,2022-01-01 06:00:00+00:00,108,9205,5652,152,13322,504,7,3377,18877,70492,139535,157356
2022-01-01 07:00:00+00:00,2022-01-01 08:00:00+00:00,10Y1001A1001A83F,MAW,18149,2022-01-01 07:00:00+00:00,108,8717,5713,130,13360,504,2175,3373,16437,65575,134241,163000
2022-01-01 08:00:00+00:00,2022-01-01 09:00:00+00:00,10Y1001A1001A83F,MAW,18229,2022-01-01 08:00:00+00:00,100,6395,5739,86,13329,504,10187,3354,16631,61218,135772,171858
2022-01-01 09:00:00+00:00,2022-01-01 10:00:00+00:00,10Y1001A1001A83F,MAW,18235,2022-01-01 09:00:00+00:00,88,6388,5759,93,13364,504,20112,3364,16091,53701,137699,179829
2022-01-01 10:00:00+00:00,2022-01-01 11:00:00+00:00,10Y1001A1001A83F,MAW,18071,2022-01-01 10:00:00+00:00,75,6819,5744,137,13383,504,28215,3350,17729,45898,139925,188335
2022-01-01 11:00:00+00:00,2022-01-01 12:00:00+00:00,10Y1001A1001A83F,MAW,17918,2022-01-01 11:00:00+00:00,68,6627,5708,100,13385,504,30817,3361,20767,39805,139060,188528
