StartTime,EndTime,AreaID,UnitName,quantity_B01,hourly_time,quantity_B16,quantity_B17,quantity_B18,quantity_B19,total_green_energy,Load
2021-12-31 23:00:00+00:00,2022-01-01 00:00:00+00:00,10Y1001A1001A65H,MAW,468,2021-12-31 23:00:00+00:00,1,169,1875,1308,3821,3314
2022-01-01 00:00:00+00:00,2022-01-01 01:00:00+00:00,10Y1001A1001A65H,MAW,511,2022-01-01 00:00:00+00:00,1,169,1904,1189,3774,3218
2022-01-01 01:00:00+00:00,2022-01-01 02:00:00+00:00,10Y1001A1001A65H,MAW,519,2022-01-01 01:00:00+00:00,1,169,1738,1051,3478,3126
2022-01-01 02:00:00+00:00,2022-01-01 03:00:00+00:00,10Y1001A1001A65H,MAW,558,2022-01-01 02:00:00+00:00,1,169,1436,1048,3212,3080
2022-01-01 03:00:00+00:00,2022-01-01 04:00:00+00:00,10Y1001A1001A65H,MAW,468,2022-01-01 03:00:00+00:00,1,169,1505,878,3021,3044
2022-01-01 04:00:00+00:00,2022-01-01 05:00:00+00:00,10Y1001A1001A65H,MAW,505,2022-01-01 04:00:00+00:00,1,168,1391,827,2892,3130
2022-01-01 05:00:00+00:00,2022-01-01 06:00:00+00:00,10Y1001A1001A65H,MAW,554,2022-01-01 05:00:00+00:00,1,165,1407,617,2744,3238
2022-01-01 06:00:00+00:00,2022-01-01 07:00:00+00:00,10Y1001A1001A65H,MAW,720,2022-01-01 06:00:00+00:00,1,170,1098,474,2463,3378
2022-01-01 07:00:00+00:00,2022-01-01 08:00:00+00:00,10Y1001A1001A65H,MAW,714,2022-01-01 07:00:00+00:00,12,171,734,346,1977,3537
2022-01-01 08:00:00+00:00,2022-01-01 09:00:00+00:00,10Y1001A1001A65H,MAW,675,2022-01-01 08:00:00+00:00,45,165,703,232,1820,3714
2022-01-01 09:00:00+00:00,2022-01-01 10:00:00+00:00,10Y1001A1001A65H,MAW,668,2022-01-01 09:00:00+00:00,67,169,610,256,1770,3818
2022-01-01 10:00:00+00:00,2022-01-01 11:00:00+00:00,10Y1001A1001A65H,MAW,732,2022-01-01 10:00:00+00:00,62,170,653,385,2002,3893
2022-01-01 11:00:00+00:00,2022-01-01 12:00:00+00:00,10Y1001A1001A65H,MAW,649,2022-01-01 11:00:00+00:00,40,171,714,501,2075,3943
2022-01-01 12:00:00+00:00,2022-01-01 13:00:00+00:00,10Y1001A1001A65H,MAW,756,2022-01-01 12:00:00+00:00,20,175,763,577,2291,3915
2022-01-01 13:00:00+00:00,2022-01-01 14:00:00+00:00,10Y1001A1001A65H,MAW,803,2022-01-01 13:00:00+00:00,3,182,893,799,2680,3988
2022-01-01 14:00:00+00:00,2022-01-01 15:00:00+00:00,10Y1001A1001A65H,MAW,851,2022-01-01 14:00:00+00:00,1,180,1034,1314,3380,4213
2022-01-01 15:00:00+00:00,2022-01-01 16:00:00+00:00,10Y1001A1001A65H,MAW,875,2022-01-01 15:00:00+00:00,1,177,1102,1793,3948,4473
2022-01-01 16:00:00+00:00,2022-01-01 17:00:00+00:00,10Y1001A1001A65H,MAW,850,2022-01-01 16:00:00+00:00,1,181,1415,2073,4520,4407
2022-01-01 17:00:00+00:00,2022-01-01 18:00:00+00:00,10Y1001A1001A65H,MAW,838,2022-01-01 17:00:00+00:00,1,180,1748,2205,4972,4133
2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,10Y1001A1001A65H,MAW,693,2022-01-01 18:00:00+00:00,1,176,1962,2396,5228,3970
2022-01-01 19:00:00+00:00,2022-01-01 20:00:00+00:00,10Y1001A1001A65H,MAW,545,2022-01-01 19:00:00+00:00,1,176,2075,2476,5273,3821
