StartTime,EndTime,AreaID,UnitName,quantity_B01,hourly_time,quantity_B09,quantity_B11,quantity_B12,quantity_B14,quantity_B15,quantity_B16,quantity_B17,quantity_B19,total_green_energy,Load
2021-12-31 23:00:00+00:00,2022-01-01 00:00:00+00:00,10YHU-MAVIR----U,MAW,132,2021-12-31 23:00:00+00:00,0,11,9,1950,7,0,15,126,2250,4254
2022-01-01 00:00:00+00:00,2022-01-01 01:00:00+00:00,10YHU-MAVIR----U,MAW,523,2022-01-01 00:00:00+00:00,0,44,36,7795,30,0,57,743,9228,16457
2022-01-01 01:00:00+00:00,2022-01-01 02:00:00+00:00,10YHU-MAVIR----U,MAW,516,2022-01-01 01:00:00+00:00,0,44,36,7790,28,0,58,902,9374,15426
2022-01-01 02:00:00+00:00,2022-01-01 03:00:00+00:00,10YHU-MAVIR----U,MAW,507,2022-01-01 02:00:00+00:00,0,44,36,7790,28,0,56,945,9406,14781
2022-01-01 03:00:00+00:00,2022-01-01 04:00:00+00:00,10YHU-MAVIR----U,MAW,506,2022-01-01 03:00:00+00:00,0,44,36,7794,28,0,57,673,9138,14630
2022-01-01 04:00:00+00:00,2022-01-01 05:00:00+00:00,10YHU-MAVIR----U,MAW,504,2022-01-01 04:00:00+00:00,0,44,36,7794,28,0,52,697,9155,14688
2022-01-01 05:00:00+00:00,2022-01-01 06:00:00+00:00,10YHU-MAVIR----U,MAW,511,2022-01-01 05:00:00+00:00,0,44,36,7790,27,0,52,832,9292,14960
2022-01-01 06:00:00+00:00,2022-01-01 07:00:00+00:00,10YHU-MAVIR----U,MAW,524,2022-01-01 06:00:00+00:00,0,44,36,7790,28,127,61,868,9478,15034
2022-01-01 07:00:00+00:00,2022-01-01 08:00:00+00:00,10YHU-MAVIR----U,MAW,522,2022-01-01 07:00:00+00:00,0,44,36,7792,30,1029,60,786,10299,15259
2022-01-01 08:00:00+00:00,2022-01-01 09:00:00+00:00,10YHU-MAVIR----U,MAW,520,2022-01-01 08:00:00+00:00,0,44,36,7794,32,2264,65,701,11456,15551
2022-01-01 09:00:00+00:00,2022-01-01 10:00:00+00:00,10YHU-MAVIR----U,MAW,519,2022-01-01 09:00:00+00:00,0,44,36,7697,32,2889,60,685,11962,16045
2022-01-01 10:00:00+00:00,2022-01-01 11:00:00+00:00,10YHU-MAVIR----U,MAW,522,2022-01-01 10:00:00+00:00,0,44,36,7573,32,2982,63,715,11967,16500
2022-01-01 11:00:00+00:00,2022-01-01 12:00:00+00:00,10YHU-MAVIR----U,MAW,517,2022-01-01 11:00:00+00:00,0,44,36,7786,34,2393,68,821,11699,16966
2022-01-01 12:00:00+00:00,2022-01-01 13:00:00+00:00,10YHU-MAVIR----U,MAW,518,2022-01-01 12:00:00+00:00,0,44,36,7800,34,1513,69,881,10895,17195
2022-01-01 13:00:00+00:00,2022-01-01 14:00:00+00:00,10YHU-MAVIR----U,MAW,518,2022-01-01 13:00:00+00:00,0,44,36,7799,35,746,56,750,9984,17488
2022-01-01 14:00:00+00:00,2022-01-01 15:00:00+00:00,10YHU-MAVIR----U,MAW,520,2022-01-01 14:00:00+00:00,0,44,36,7802,35,116,43,766,9362,18052
2022-01-01 15:00:00+00:00,2022-01-01 16:00:00+00:00,10YHU-MAVIR----U,MAW,519,2022-01-01 15:00:00+00:00,0,44,36,7801,33,0,44,787,9264,19157
2022-01-01 16:00:00+00:00,2022-01-01 17:00:00+00:00,10YHU-MAVIR----U,MAW,520,2022-01-01 16:00:00+00:00,0,44,36,7795,32,0,54,795,9276,19169
2022-01-01 17:00:00+00:00,2022-01-01 18:00:00+00:00,10YHU-MAVIR----U,MAW,521,2022-01-01 17:00:00+00:00,0,44,36,7792,32,0,62,654,9141,19117
2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,10YHU-MAVIR----U,MAW,518,2022-01-01 18:00:00+00:00,0,44,36,7792,32,0,60,524,9006,19077
2022-01-01 19:00:00+00:00,2022-01-01 20:00:00+00:00,10YHU-MAVIR----U,MAW,519,2022-01-01 19:00:00+00:00,0,44,36,7791,34,0,58,530,9012,18695
2022-01-01 20:00:00+00:00,2022-01-01 21:00:00+00:00,10YHU-MAVIR----U,MAW,519,2022-01-01 20:00:00+00:00,0,44,36,7790,33,0,60,476,8958,18142
2022-01-01 21:00:00+00:00,2022-01-01 22:00:00+00:00,10YHU-MAVIR----U,MAW,518,2022-01-01 21:00:00+00:00,0,44,36,7793,33,0,60,390,8874,17310
2022-01-01 22:00:00+00:00,2022-01-01 23:00:00+00:00,10YHU-MAVIR----U,MAW,521,2022-01-01 22:00:00+00:00,0,44,36,7792,35,0,58,363,8849,16380
2022-01-01 23:00:00+00:00,2022-01-02 00:00:00+00:00,10YHU-MAVIR----U,MAW,519,2022-01-01 23:00:00+00:00,0,44,36,7804,30,0,60,335,8828,15480
2022-01-02 00:00:00+00:00,2022-01-02 01:00:00+00:00,10YHU-MAVIR----U,MAW,515,2022-01-02 00:00:00+00:00,0,44,36,7803,27,0,59,271,8755,14901
2022-01-02 01:00:00+00:00,2022-01-02 02:00:00+00:00,10YHU-MAVIR----U,MAW,512,2022-01-02 01:00:00+00:00,0,44,36,7801,28,0,58,114,8593,14342
2022-01-02 02:00:00+00:00,2022-01-02 03:00:00+00:00,10YHU-MAVIR----U,MAW,506,2022-01-02 02:00:00+00:00,0,44,36,7801,26,0,59,33,8505,14142
