StartTime,EndTime,AreaID,UnitName,quantity_B01,hourly_time,quantity_B09,quantity_B10,quantity_B11,quantity_B12,quantity_B16,quantity_B17,quantity_B18,quantity_B19,total_green_energy,Load
2021-12-31 23:00:00+00:00,2022-01-01 00:00:00+00:00,10YIT-GRTN-----B,MAW,677,2021-12-31 23:00:00+00:00,639,104,2115,242,0,36,0.0,2024,5837.0,21121
2022-01-01 00:00:00+00:00,2022-01-01 01:00:00+00:00,10YIT-GRTN-----B,MAW,683,2022-01-01 00:00:00+00:00,640,131,1951,200,0,36,0.0,2140,5781.0,19756
2022-01-01 01:00:00+00:00,2022-01-01 02:00:00+00:00,10YIT-GRTN-----B,MAW,670,2022-01-01 01:00:00+00:00,639,700,1831,155,0,36,0.0,2233,6264.0,18685
2022-01-01 02:00:00+00:00,2022-01-01 03:00:00+00:00,10YIT-GRTN-----B,MAW,656,2022-01-01 02:00:00+00:00,648,735,1842,158,0,35,0.0,2368,6442.0,18124
2022-01-01 03:00:00+00:00,2022-01-01 04:00:00+00:00,10YIT-GRTN-----B,MAW,649,2022-01-01 03:00:00+00:00,648,334,1818,160,0,37,0.0,2151,5797.0,18400
2022-01-01 04:00:00+00:00,2022-01-01 05:00:00+00:00,10YIT-GRTN-----B,MAW,644,2022-01-01 04:00:00+00:00,649,299,1930,159,0,36,0.0,1820,5537.0,19223
2022-01-01 05:00:00+00:00,2022-01-01 06:00:00+00:00,10YIT-GRTN-----B,MAW,642,2022-01-01 05:00:00+00:00,648,702,2192,206,43,34,0.0,1793,6260.0,19738
2022-01-01 06:00:00+00:00,2022-01-01 07:00:00+00:00,10YIT-GRTN-----B,MAW,644,2022-01-01 06:00:00+00:00,648,682,2484,239,900,35,0.0,1759,7391.0,20289
2022-01-01 07:00:00+00:00,2022-01-01 08:00:00+00:00,10YIT-GRTN-----B,MAW,649,2022-01-01 07:00:00+00:00,647,632,2204,201,2457,34,0.0,1847,8671.0,21469
2022-01-01 08:00:00+00:00,2022-01-01 09:00:00+00:00,10YIT-GRTN-----B,MAW,647,2022-01-01 08:00:00+00:00,647,133,2056,184,3817,33,0.0,1648,9165.0,22735
