StartTime,EndTime,AreaID,UnitName,quantity_B01,hourly_time,quantity_B11,quantity_B14,quantity_B16,quantity_B17,quantity_B18,quantity_B19,total_green_energy,Load
2021-12-31 23:00:00+00:00,2022-01-01 00:00:00+00:00,10YNL----------L,MAW,21,2021-12-31 23:00:00+00:00,0,485,1,410,2016,1516,4449,10326
2022-01-01 00:00:00+00:00,2022-01-01 01:00:00+00:00,10YNL----------L,MAW,85,2022-01-01 00:00:00+00:00,0,1940,4,1619,6940,5739,16327,40706
2022-01-01 01:00:00+00:00,2022-01-01 02:00:00+00:00,10YNL----------L,MAW,85,2022-01-01 01:00:00+00:00,0,1940,4,1642,5548,5494,14713,39465
2022-01-01 02:00:00+00:00,2022-01-01 03:00:00+00:00,10YNL----------L,MAW,86,2022-01-01 02:00:00+00:00,0,1940,4,1629,5550,5684,14893,38923
2022-01-01 03:00:00+00:00,2022-01-01 04:00:00+00:00,10YNL----------L,MAW,85,2022-01-01 03:00:00+00:00,0,1940,4,1648,5709,5492,14878,38211
2022-01-01 04:00:00+00:00,2022-01-01 05:00:00+00:00,10YNL----------L,MAW,85,2022-01-01 04:00:00+00:00,0,1940,4,1657,5860,5144,14690,38146
2022-01-01 05:00:00+00:00,2022-01-01 06:00:00+00:00,10YNL----------L,MAW,85,2022-01-01 05:00:00+00:00,0,1940,4,1693,6295,4644,14661,38956
2022-01-01 06:00:00+00:00,2022-01-01 07:00:00+00:00,10YNL----------L,MAW,83,2022-01-01 06:00:00+00:00,0,1940,4,1677,6252,4082,14038,39968
2022-01-01 07:00:00+00:00,2022-01-01 08:00:00+00:00,10YNL----------L,MAW,84,2022-01-01 07:00:00+00:00,0,1940,5,1667,5794,4682,14172,40808
2022-01-01 08:00:00+00:00,2022-01-01 09:00:00+00:00,10YNL----------L,MAW,84,2022-01-01 08:00:00+00:00,0,1940,33,1670,6484,4754,14965,41742
2022-01-01 09:00:00+00:00,2022-01-01 10:00:00+00:00,10YNL----------L,MAW,84,2022-01-01 09:00:00+00:00,0,1940,118,1680,7686,5395,16903,42796
2022-01-01 10:00:00+00:00,2022-01-01 11:00:00+00:00,10YNL----------L,MAW,83,2022-01-01 10:00:00+00:00,0,1940,147,1685,8346,5463,17664,42494
2022-01-01 11:00:00+00:00,2022-01-01 12:00:00+00:00,10YNL----------L,MAW,84,2022-01-01 11:00:00+00:00,0,1940,146,1684,8743,5875,18472,42294
2022-01-01 12:00:00+00:00,2022-01-01 13:00:00+00:00,10YNL----------L,MAW,83,2022-01-01 12:00:00+00:00,0,1940,122,1671,8805,6061,18682,43153
2022-01-01 13:00:00+00:00,2022-01-01 14:00:00+00:00,10YNL----------L,MAW,83,2022-01-01 13:00:00+00:00,0,1939,78,1682,8705,6192,18679,44379
2022-01-01 14:00:00+00:00,2022-01-01 15:00:00+00:00,10YNL----------L,MAW,80,2022-01-01 14:00:00+00:00,0,1938,48,1675,8532,6336,18609,45865
2022-01-01 15:00:00+00:00,2022-01-01 16:00:00+00:00,10YNL----------L,MAW,83,2022-01-01 15:00:00+00:00,0,1936,4,1689,7816,6717,18245,48406
2022-01-01 16:00:00+00:00,2022-01-01 17:00:00+00:00,10YNL----------L,MAW,84,2022-01-01 16:00:00+00:00,0,1936,4,1668,8505,7006,19203,52021
2022-01-01 17:00:00+00:00,2022-01-01 18:00:00+00:00,10YNL----------L,MAW,83,2022-01-01 17:00:00+00:00,0,1936,4,1661,8859,7265,19808,51429
2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,10YNL----------L,MAW,84,2022-01-01 18:00:00+00:00,0,1936,4,1690,8956,7162,19832,49999
2022-01-01 19:00:00+00:00,2022-01-01 20:00:00+00:00,10YNL----------L,MAW,84,2022-01-01 19:00:00+00:00,0,1936,4,1695,8479,6735,18933,47940
