StartTime,EndTime,AreaID,UnitName,quantity_B12,hourly_time,quantity_B13,quantity_B14,quantity_B16,quantity_B19,total_green_energy,Load
2021-12-31 23:00:00+00:00,2022-01-01 00:00:00+00:00,10YSE-1--------K,MAW,7015,2021-12-31 23:00:00+00:00,0.0,5842,0,4045,16902.0,15331
2022-01-01 00:00:00+00:00,2022-01-01 01:00:00+00:00,10YSE-1--------K,MAW,7086,2022-01-01 00:00:00+00:00,0.0,5839,0,4021,16946.0,15331
2022-01-01 01:00:00+00:00,2022-01-01 02:00:00+00:00,10YSE-1--------K,MAW,7088,2022-01-01 01:00:00+00:00,0.0,5839,0,3948,16875.0,15270
2022-01-01 02:00:00+00:00,2022-01-01 03:00:00+00:00,10YSE-1--------K,MAW,6746,2022-01-01 02:00:00+00:00,0.0,5840,0,3763,16349.0,15150
2022-01-01 03:00:00+00:00,2022-01-01 04:00:00+00:00,10YSE-1--------K,MAW,7173,2022-01-01 03:00:00+00:00,0.0,5839,0,3597,16609.0,15387
2022-01-01 04:00:00+00:00,2022-01-01 05:00:00+00:00,10YSE-1--------K,MAW,7497,2022-01-01 04:00:00+00:00,0.0,5839,0,3355,16691.0,15737
2022-01-01 05:00:00+00:00,2022-01-01 06:00:00+00:00,10YSE-1--------K,MAW,7973,2022-01-01 05:00:00+00:00,0.0,5840,0,3135,16948.0,16054
2022-01-01 06:00:00+00:00,2022-01-01 07:00:00+00:00,10YSE-1--------K,MAW,8820,2022-01-01 06:00:00+00:00,0.0,5840,0,2937,17597.0,16455
2022-01-01 07:00:00+00:00,2022-01-01 08:00:00+00:00,10YSE-1--------K,MAW,9060,2022-01-01 07:00:00+00:00,0.0,5840,1,2713,17614.0,16943
2022-01-01 08:00:00+00:00,2022-01-01 09:00:00+00:00,10YSE-1--------K,MAW,9220,2022-01-01 08:00:00+00:00,0.0,5840,7,2441,17508.0,17476
2022-01-01 09:00:00+00:00,2022-01-01 10:00:00+00:00,10YSE-1--------K,MAW,9253,2022-01-01 09:00:00+00:00,0.0,5884,13,2141,17291.0,17657
2022-01-01 10:00:00+00:00,2022-01-01 11:00:00+00:00,10YSE-1--------K,MAW,9218,2022-01-01 10:00:00+00:00,0.0,6062,12,1894,17186.0,17521
2022-01-01 11:00:00+00:00,2022-01-01 12:00:00+00:00,10YSE-1--------K,MAW,9238,2022-01-01 11:00:00+00:00,0.0,6208,8,1770,17224.0,17542
2022-01-01 12:00:00+00:00,2022-01-01 13:00:00+00:00,10YSE-1--------K,MAW,9409,2022-01-01 12:00:00+00:00,0.0,6275,2,1723,17409.0,17783
2022-01-01 13:00:00+00:00,2022-01-01 14:00:00+00:00,10YSE-1--------K,MAW,9813,2022-01-01 13:00:00+00:00,0.0,6275,0,1803,17891.0,18417
2022-01-01 14:00:00+00:00,2022-01-01 15:00:00+00:00,10YSE-1--------K,MAW,10094,2022-01-01 14:00:00+00:00,0.0,6329,0,2043,18466.0,18620
2022-01-01 15:00:00+00:00,2022-01-01 16:00:00+00:00,10YSE-1--------K,MAW,10115,2022-01-01 15:00:00+00:00,0.0,6344,0,2459,18918.0,18778
2022-01-01 16:00:00+00:00,2022-01-01 17:00:00+00:00,10YSE-1--------K,MAW,9945,2022-01-01 16:00:00+00:00,0.0,6344,0,2985,19274.0,18621
2022-01-01 17:00:00+00:00,2022-01-01 18:00:00+00:00,10YSE-1--------K,MAW,9775,2022-01-01 17:00:00+00:00,0.0,6349,0,3450,19574.0,17942
2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,10YSE-1--------K,MAW,9553,2022-01-01 18:00:00+00:00,0.0,6353,0,4114,20020.0,17481
2022-01-01 19:00:00+00:00,2022-01-01 20:00:00+00:00,10YSE-1--------K,MAW,9212,2022-01-01 19:00:00+00:00,0.0,6354,0,4848,20414.0,17048
2022-01-01 20:00:00+00:00,2022-01-01 21:00:00+00:00,10YSE-1--------K,MAW,8742,2022-01-01 20:00:00+00:00,0.0,6354,0,5364,20460.0,16461
2022-01-01 21:00:00+00:00,2022-01-01 22:00:00+00:00,10YSE-1--------K,MAW,8332,2022-01-01 21:00:00+00:00,0.0,6356,0,5716,20404.0,16048
2022-01-01 22:00:00+00:00,2022-01-01 23:00:00+00:00,10YSE-1--------K,MAW,7065,2022-01-01 22:00:00+00:00,0.0,6359,0,6177,19601.0,15924
2022-01-01 23:00:00+00:00,2022-01-02 00:00:00+00:00,10YSE-1--------K,MAW,6519,2022-01-01 23:00:00+00:00,0.0,6357,0,6234,19110.0,15328
2022-01-02 00:00:00+00:00,2022-01-02 01:00:00+00:00,10YSE-1--------K,MAW,6271,2022-01-02 00:00:00+00:00,0.0,6359,0,6296,18926.0,15037
2022-01-02 01:00:00+00:00,2022-01-02 02:00:00+00:00,10YSE-1--------K,MAW,5353,2022-01-02 01:00:00+00:00,0.0,6357,0,6257,17967.0,14770
2022-01-02 02:00:00+00:00,2022-01-02 03:00:00+00:00,10YSE-1--------K,MAW,5056,2022-01-02 02:00:00+00:00,0.0,6359,0,6034,17449.0,14706
2022-01-02 03:00:00+00:00,2022-01-02 04:00:00+00:00,10YSE-1--------K,MAW,5120,2022-01-02 03:00:00+00:00,0.0,6360,0,5732,17212.0,14752
2022-01-02 04:00:00+00:00,2022-01-02 05:00:00+00:00,10YSE-1--------K,MAW,5448,2022-01-02 04:00:00+00:00,0.0,6361,0,5394,17203.0,15202
2022-01-02 05:00:00+00:00,2022-01-02 06:00:00+00:00,10YSE-1--------K,MAW,6597,2022-01-02 05:00:00+00:00,0.0,6360,0,5004,17961.0,15916
2022-01-02 06:00:00+00:00,2022-01-02 07:00:00+00:00,10YSE-1--------K,MAW,7221,2022-01-02 06:00:00+00:00,0.0,6361,0,4738,18320.0,16545
2022-01-02 07:00:00+00:00,2022-01-02 08:00:00+00:00,10YSE-1--------K,MAW,8378,2022-01-02 07:00:00+00:00,0.0,6360,0,4387,19125.0,16960
2022-01-02 08:00:00+00:00,2022-01-02 09:00:00+00:00,10YSE-1--------K,MAW,8845,2022-01-02 08:00:00+00:00,0.0,6359,3,4095,19302.0,17299
2022-01-02 09:00:00+00:00,2022-01-02 10:00:00+00:00,10YSE-1--------K,MAW,9036,2022-01-02 09:00:00+00:00,0.0,6359,5,3771,19171.0,17428
2022-01-02 10:00:00+00:00,2022-01-02 11:00:00+00:00,10YSE-1--------K,MAW,9129,2022-01-02 10:00:00+00:00,0.0,6359,5,3636,19129.0,17553
2022-01-02 11:00:00+00:00,2022-01-02 12:00:00+00:00,10YSE-1--------K,MAW,9257,2022-01-02 11:00:00+00:00,0.0,6360,3,3356,18976.0,17792
2022-01-02 12:00:00+00:00,2022-01-02 13:00:00+00:00,10YSE-1--------K,MAW,9462,2022-01-02 12:00:00+00:00,0.0,6387,1,3092,18942.0,17912
2022-01-02 13:00:00+00:00,2022-01-02 14:00:00+00:00,10YSE-1--------K,MAW,9711,2022-01-02 13:00:00+00:00,0.0,6412,0,2810,18933.0,18077
