StartTime,EndTime,AreaID,UnitName,quantity_B01,hourly_time,quantity_B09,quantity_B10,quantity_B11,quantity_B12,quantity_B13,quantity_B14,quantity_B15,quantity_B16,quantity_B17,quantity_B18,quantity_B19,total_green_energy,Load
2021-12-31 23:00:00+00:00,2022-01-01 00:00:00+00:00,10YES-REE------0,MAW,533,2021-12-31 23:00:00+00:00,0,1711,1082,1347,0,6091,98,75,268,0,6398,17603,20827
2022-01-01 00:00:00+00:00,2022-01-01 01:00:00+00:00,10YES-REE------0,MAW,524,2022-01-01 00:00:00+00:00,0,1884,1046,746,0,6092,96,75,265,0,6456,17184,19530
2022-01-01 01:00:00+00:00,2022-01-01 02:00:00+00:00,10YES-REE------0,MAW,532,2022-01-01 01:00:00+00:00,0,2515,1045,733,0,6091,96,75,266,0,6144,17497,18383
2022-01-01 02:00:00+00:00,2022-01-01 03:00:00+00:00,10YES-REE------0,MAW,528,2022-01-01 02:00:00+00:00,0,2913,1049,755,0,6091,98,75,260,0,5943,17712,17680
2022-01-01 03:00:00+00:00,2022-01-01 04:00:00+00:00,10YES-REE------0,MAW,533,2022-01-01 03:00:00+00:00,0,2957,1031,719,0,6092,96,75,266,0,5836,17605,17396
2022-01-01 04:00:00+00:00,2022-01-01 05:00:00+00:00,10YES-REE------0,MAW,534,2022-01-01 04:00:00+00:00,0,2854,1016,611,0,6092,93,75,268,0,5685,17228,17544
2022-01-01 05:00:00+00:00,2022-01-01 06:00:00+00:00,10YES-REE------0,MAW,539,2022-01-01 05:00:00+00:00,0,2850,1018,779,0,6092,91,75,267,0,5583,17294,17866
2022-01-01 06:00:00+00:00,2022-01-01 07:00:00+00:00,10YES-REE------0,MAW,527,2022-01-01 06:00:00+00:00,0,2992,1029,768,0,6094,95,144,268,0,5546,17463,17806
2022-01-01 07:00:00+00:00,2022-01-01 08:00:00+00:00,10YES-REE------0,MAW,525,2022-01-01 07:00:00+00:00,0,3305,1037,729,0,6094,94,2024,269,0,5625,19702,18533
2022-01-01 08:00:00+00:00,2022-01-01 09:00:00+00:00,10YES-REE------0,MAW,508,2022-01-01 08:00:00+00:00,0,3362,1049,747,0,6092,92,5220,269,0,5201,22540,20018
2022-01-01 09:00:00+00:00,2022-01-01 10:00:00+00:00,10YES-REE------0,MAW,501,2022-01-01 09:00:00+00:00,0,3283,1059,740,0,6091,91,7033,272,0,4909,23979,20989
2022-01-01 10:00:00+00:00,2022-01-01 11:00:00+00:00,10YES-REE------0,MAW,511,2022-01-01 10:00:00+00:00,0,3163,1053,705,0,6090,95,7564,267,0,4490,23938,21514
2022-01-01 11:00:00+00:00,2022-01-01 12:00:00+00:00,10YES-REE------0,MAW,521,2022-01-01 11:00:00+00:00,0,2993,1049,747,0,6089,95,7514,272,0,4262,23542,22105
2022-01-01 12:00:00+00:00,2022-01-01 13:00:00+00:00,10YES-REE------0,MAW,538,2022-01-01 12:00:00+00:00,0,2593,1042,867,0,6091,94,7338,271,0,4113,22947,22384
