StartTime,EndTime,AreaID,UnitName,quantity_B19,hourly_time,total_green_energy,Load
2022-01-26 23:00:00+00:00,2022-01-27 00:00:00+00:00,10Y1001A1001A92E,MAW,865,2022-01-26 23:00:00+00:00,865,677.0
2022-01-27 00:00:00+00:00,2022-01-27 01:00:00+00:00,10Y1001A1001A92E,MAW,2042,2022-01-27 00:00:00+00:00,2042,1244.0
2022-01-27 01:00:00+00:00,2022-01-27 02:00:00+00:00,10Y1001A1001A92E,MAW,1852,2022-01-27 01:00:00+00:00,1852,1131.0
2022-01-27 02:00:00+00:00,2022-01-27 03:00:00+00:00,10Y1001A1001A92E,MAW,1344,2022-01-27 02:00:00+00:00,1344,1091.0
2022-01-27 03:00:00+00:00,2022-01-27 04:00:00+00:00,10Y1001A1001A92E,MAW,851,2022-01-27 03:00:00+00:00,851,969.0
2022-01-27 04:00:00+00:00,2022-01-27 05:00:00+00:00,10Y1001A1001A92E,MAW,864,2022-01-27 04:00:00+00:00,864,896.0
2022-01-27 05:00:00+00:00,2022-01-27 06:00:00+00:00,10Y1001A1001A92E,MAW,1354,2022-01-27 05:00:00+00:00,1354,871.0
2022-01-27 06:00:00+00:00,2022-01-27 07:00:00+00:00,10Y1001A1001A92E,MAW,1834,2022-01-27 06:00:00+00:00,1834,860.0
2022-01-27 07:00:00+00:00,2022-01-27 08:00:00+00:00,10Y1001A1001A92E,MAW,1490,2022-01-27 07:00:00+00:00,1490,922.0
2022-01-27 08:00:00+00:00,2022-01-27 09:00:00+00:00,10Y1001A1001A92E,MAW,1358,2022-01-27 08:00:00+00:00,1358,1017.0
2022-01-27 09:00:00+00:00,2022-01-27 10:00:00+00:00,10Y1001A1001A92E,MAW,1396,2022-01-27 09:00:00+00:00,1396,1095.0
2022-01-27 10:00:00+00:00,2022-01-27 11:00:00+00:00,10Y1001A1001A92E,MAW,1640,2022-01-27 10:00:00+00:00,1640,1232.0
2022-01-27 11:00:00+00:00,2022-01-27 12:00:00+00:00,10Y1001A1001A92E,MAW,1734,2022-01-27 11:00:00+00:00,1734,1351.0
2022-01-27 12:00:00+00:00,2022-01-27 13:00:00+00:00,10Y1001A1001A92E,MAW,1714,2022-01-27 12:00:00+00:00,1714,1508.0
2022-01-27 13:00:00+00:00,2022-01-27 14:00:00+00:00,10Y1001A1001A92E,MAW,1542,2022-01-27 13:00:00+00:00,1542,1653.0
2022-01-27 14:00:00+00:00,2022-01-27 15:00:00+00:00,10Y1001A1001A92E,MAW,1100,2022-01-27 14:00:00+00:00,1100,1682.0
2022-01-27 15:00:00+00:00,2022-01-27 16:00:00+00:00,10Y1001A1001A92E,MAW,708,2022-01-27 15:00:00+00:00,708,1671.0
2022-01-27 16:00:00+00:00,2022-01-27 17:00:00+00:00,10Y1001A1001A92E,MAW,561,2022-01-27 16:00:00+00:00,561,1741.0
2022-01-27 17:00:00+00:00,2022-01-27 18:00:00+00:00,10Y1001A1001A92E,MAW,431,2022-01-27 17:00:00+00:00,431,1977.0
2022-01-27 18:00:00+00:00,2022-01-27 19:00:00+00:00,10Y1001A1001A92E,MAW,427,2022-01-27 18:00:00+00:00,427,2083.0
2022-01-27 19:00:00+00:00,2022-01-27 20:00:00+00:00,10Y1001A1001A92E,MAW,396,2022-01-27 19:00:00+00:00,396,1925.0
2022-01-27 20:00:00+00:00,2022-01-27 21:00:00+00:00,10Y1001A1001A92E,MAW,212,2022-01-27 20:00:00+00:00,212,1801.0
2022-01-27 21:00:00+00:00,2022-01-27 22:00:00+00:00,10Y1001A1001A92E,MAW,132,2022-01-27 21:00:00+00:00,132,1691.0
2022-01-27 22:00:00+00:00,2022-01-27 23:00:00+00:00,10Y1001A1001A92E,MAW,130,2022-01-27 22:00:00+00:00,130,1534.0
2022-01-27 23:00:00+00:00,2022-01-27 23:30:00+00:00,10Y1001A1001A92E,MAW,70,2022-01-27 23:00:00+00:00,70,1385.0
2022-01-28 00:00:00+00:00,,,,0,,0,626.0
2022-01-28 01:00:00+00:00,,,,0,,0,0.0
2022-01-28 02:00:00+00:00,,,,0,,0,525.0
2022-01-28 03:00:00+00:00,,,,0,,0,1008.0
2022-01-28 04:00:00+00:00,,,,0,,0,971.0
2022-01-28 05:00:00+00:00,,,,0,,0,942.0
2022-01-28 06:00:00+00:00,,,,0,,0,948.0
2022-01-28 07:00:00+00:00,,,,0,,0,1010.0
2022-01-28 08:00:00+00:00,,,,0,,0,1119.0
2022-01-28 09:00:00+00:00,,,,0,,0,1241.0
2022-01-28 10:00:00+00:00,,,,0,,0,1420.0
2022-01-28 11:00:00+00:00,,,,0,,0,1562.0
2022-01-28 12:00:00+00:00,,,,0,,0,1678.0
2022-01-28 13:00:00+00:00,,,,0,,0,1770.0
2022-01-28 14:00:00+00:00,,,,0,,0,1747.0
