StartTime,EndTime,green_energy_DE,DE_Load,green_energy_DK,DK_Load,green_energy_HU,HU_Load,green_energy_IT,IT_Load,green_energy_NE,NE_Load,green_energy_PO,PO_Load,green_energy_SE,SE_Load,green_energy_SP,SP_Load,green_energy_UK,UK_Load
2021-12-31 23:00:00+00:00,2022-01-01 00:00:00+00:00,43598,42196,3821.0,3314.0,2250,4254,5837.0,21121.0,4449,10326,4641.0,14438.0,16902.0,15331.0,17603,20827,865.0,677.0
2022-01-01 00:00:00+00:00,2022-01-01 01:00:00+00:00,174116,165125,3774.0,3218.0,9228,16457,5781.0,19756.0,16327,40706,4491.0,13935.0,16946.0,15331.0,17184,19530,2042.0,1244.0
2022-01-01 01:00:00+00:00,2022-01-01 02:00:00+00:00,168446,160415,3478.0,3126.0,9374,15426,6264.0,18685.0,14713,39465,4436.0,13579.0,16875.0,15270.0,17497,18383,1852.0,1131.0
2022-01-01 02:00:00+00:00,2022-01-01 03:00:00+00:00,164624,158035,3212.0,3080.0,9406,14781,6442.0,18124.0,14893,38923,4568.0,13397.0,16349.0,15150.0,17712,17680,1344.0,1091.0
2022-01-01 03:00:00+00:00,2022-01-01 04:00:00+00:00,158479,157016,3021.0,3044.0,9138,14630,5797.0,18400.0,14878,38211,4559.0,13364.0,16609.0,15387.0,17605,17396,851.0,969.0
2022-01-01 04:00:00+00:00,2022-01-01 05:00:00+00:00,148685,154552,2892.0,3130.0,9155,14688,5537.0,19223.0,14690,38146,4374.0,13449.0,16691.0,15737.0,17228,17544,864.0,896.0
2022-01-01 05:00:00+00:00,2022-01-01 06:00:00+00:00,146048,154275,2744.0,3238.0,9292,14960,6260.0,19738.0,14661,38956,4303.0,13444.0,16948.0,16054.0,17294,17866,1354.0,871.0
2022-01-01 06:00:00+00:00,2022-01-01 07:00:00+00:00,139535,157356,2463.0,3378.0,9478,15034,7391.0,20289.0,14038,39968,4370.0,13527.0,17597.0,16455.0,17463,17806,1834.0,860.0
2022-01-01 07:00:00+00:00,2022-01-01 08:00:00+00:00,134241,163000,1977.0,3537.0,10299,15259,8671.0,21469.0,14172,40808,4540.0,14202.0,17614.0,16943.0,19702,18533,1490.0,922.0
2022-01-01 08:00:00+00:00,2022-01-01 09:00:00+00:00,135772,171858,1820.0,3714.0,11456,15551,9165.0,22735.0,14965,41742,4402.0,14851.0,17508.0,17476.0,22540,20018,1358.0,1017.0
